ID-model,GO:0003674,GO:0016409,GO:0016747,GO:0016746,GO:0016787,GO:0016740,GO:0036094,GO:0003677,GO:0043168,GO:0003824,GO:0003676,GO:0043565,GO:0000975,GO:0001067,GO:0044212,GO:1901363,GO:0097159,GO:0043167,GO:0008092,GO:0060589,GO:0005488,GO:0005515,GO:0042802,GO:0030234,GO:0019899,GO:0046983
103-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
103-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
103-3,NaN,1.00,1.00,1.00,0.96,1.00,0.76,0.94,0.79,0.92,0.93,0.71,0.58,0.58,0.58,0.85,0.85,0.64,0.67,0.82,0.61,0.58,0.50,0.73,0.48,0.49
104-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
104-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
104-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
105-1,NaN,1.00,1.00,1.00,0.92,0.98,0.66,0.89,0.69,0.87,0.86,0.84,0.82,0.82,0.82,0.74,0.74,0.56,0.75,0.76,0.49,0.64,0.47,0.70,0.53,0.34
105-2,NaN,1.00,1.00,1.00,0.94,0.99,0.69,0.92,0.74,0.88,0.91,0.94,0.85,0.85,0.85,0.83,0.83,0.63,0.76,0.88,0.48,0.70,0.50,0.81,0.55,0.44
105-3,NaN,1.00,1.00,1.00,0.90,0.98,0.72,0.95,0.73,0.86,0.93,0.90,0.75,0.75,0.75,0.81,0.81,0.58,0.79,0.86,0.47,0.64,0.66,0.78,0.45,0.53
106-1,NaN,0.55,0.54,0.57,0.79,0.64,0.83,0.79,0.79,0.65,0.79,0.75,0.56,0.56,0.56,0.79,0.79,0.72,0.63,0.74,0.63,0.63,0.50,0.67,0.50,0.49
106-2,NaN,0.50,0.50,0.50,0.57,0.49,0.92,0.50,0.79,0.48,0.50,0.50,0.50,0.50,0.50,0.82,0.82,0.80,0.50,0.50,0.63,0.50,0.50,0.50,0.50,0.50
106-3,NaN,0.75,0.75,1.00,0.91,1.00,0.64,0.80,0.61,0.84,0.79,0.50,0.50,0.50,0.50,0.66,0.63,0.62,0.71,NaN,0.77,0.59,0.49,0.95,0.50,0.46
107-1,NaN,1.00,0.98,0.99,0.92,0.98,0.65,0.87,0.66,0.87,0.84,0.82,0.83,0.83,0.83,0.72,0.72,0.52,0.71,0.80,0.43,0.63,0.55,0.73,0.54,0.49
107-2,NaN,1.00,1.00,1.00,0.92,0.98,0.70,0.90,0.74,0.89,0.87,0.88,0.79,0.79,0.79,0.81,0.81,0.61,0.72,0.90,0.44,0.60,0.54,0.79,0.59,0.50
107-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
108-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
109-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
110-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.53,0.50,0.49,0.53,0.50,0.50,0.50,0.50,0.52,0.52,0.50,0.53,0.49,0.51,0.50,0.49,0.49,0.49,0.50
110-2,NaN,1.00,1.00,1.00,0.96,0.99,0.77,0.81,0.87,0.89,0.78,0.72,0.72,0.72,0.56,0.81,0.81,0.77,0.88,0.73,0.81,0.73,0.59,0.71,0.61,0.57
110-3,NaN,0.48,0.52,0.51,0.61,0.57,0.61,0.69,0.54,0.53,0.68,0.61,0.63,0.63,0.63,0.61,0.60,0.64,0.72,0.69,0.67,0.70,0.58,0.63,0.57,0.56
111-1,NaN,0.50,0.50,0.50,0.50,0.54,0.49,0.60,0.53,0.50,0.60,0.49,0.55,0.55,0.55,0.59,0.59,0.52,0.62,0.49,0.54,0.48,0.49,0.49,0.49,0.49
111-2,NaN,0.48,0.53,0.52,0.62,0.58,0.62,0.69,0.60,0.54,0.66,0.60,0.67,0.67,0.67,0.63,0.61,0.70,0.70,0.69,0.66,0.68,0.58,0.63,0.57,0.55
111-3,NaN,NaN,0.50,0.50,NaN,0.83,0.43,0.54,1.00,0.73,0.54,0.45,0.75,0.75,0.75,0.74,0.72,0.95,1.00,0.48,0.70,0.47,0.48,0.48,0.47,0.45
112-1,NaN,1.00,1.00,1.00,0.95,0.97,0.78,0.81,0.88,0.86,0.81,0.72,0.76,0.76,0.56,0.82,0.81,0.80,0.83,0.78,0.79,0.74,0.58,0.72,0.57,0.61
112-2,NaN,1.00,1.00,1.00,0.95,0.98,0.78,0.82,0.89,0.86,0.81,0.73,0.76,0.76,0.60,0.82,0.81,0.79,0.83,0.78,0.79,0.75,0.55,0.72,0.57,0.53
112-3,NaN,1.00,1.00,1.00,0.95,0.97,0.79,0.81,0.84,0.87,0.80,0.72,0.76,0.76,0.56,0.83,0.83,0.76,0.83,0.83,0.76,0.70,0.58,0.76,0.58,0.61
113-1,NaN,1.00,1.00,1.00,0.95,0.98,0.79,0.81,0.85,0.88,0.80,0.72,0.76,0.76,0.60,0.84,0.83,0.75,0.83,0.83,0.76,0.70,0.55,0.76,0.58,0.53
113-2,NaN,0.47,0.58,0.56,0.58,0.60,0.50,0.71,0.47,0.58,0.69,0.65,0.68,0.68,0.68,0.59,0.60,0.59,0.70,0.76,0.59,0.63,0.58,0.67,0.56,0.55
113-3,NaN,NaN,0.48,0.48,NaN,0.83,0.42,0.61,0.96,0.64,0.61,0.43,0.74,0.74,0.74,0.72,0.71,0.92,1.00,0.44,0.71,0.43,0.43,0.44,0.42,0.43
114-1,NaN,0.82,0.85,1.00,0.95,1.00,0.74,0.93,0.85,0.89,0.90,0.85,0.79,0.79,0.79,0.85,0.85,0.63,0.75,0.78,0.50,0.67,0.66,0.74,0.50,0.58
115-1,NaN,1.00,1.00,1.00,0.95,1.00,0.72,0.95,0.76,0.90,0.94,0.92,0.80,0.80,0.80,0.83,0.83,0.63,0.75,0.92,0.66,0.74,0.63,0.81,0.73,0.50
116-1,NaN,0.68,0.75,0.89,0.89,0.94,0.75,0.88,0.75,0.84,0.87,0.60,0.56,0.56,0.56,0.81,0.80,0.60,0.57,0.75,0.62,0.62,0.50,0.70,0.50,0.49
116-2,NaN,0.50,0.62,0.62,0.88,0.77,0.75,0.89,0.75,0.76,0.88,0.55,0.56,0.56,0.56,0.82,0.81,0.65,0.54,0.75,0.63,0.59,0.50,0.70,0.50,0.50
117-1,NaN,1.00,0.97,0.97,0.94,0.92,0.88,0.89,0.84,0.87,0.85,0.91,0.86,0.86,0.86,0.82,0.83,0.70,0.81,0.67,0.52,0.65,0.59,0.64,0.43,0.62
117-2,NaN,1.00,1.00,1.00,0.90,1.00,0.98,0.62,0.99,0.87,0.62,0.50,NaN,NaN,NaN,0.77,0.77,0.87,0.66,0.82,0.58,0.60,NaN,0.82,0.50,0.47
119-1,NaN,1.00,1.00,1.00,0.93,0.99,0.86,0.88,0.86,0.89,0.88,0.78,0.62,0.62,0.62,0.87,0.86,0.75,0.81,0.70,0.69,0.70,0.65,0.60,0.47,0.57
120-1,NaN,1.00,1.00,1.00,0.93,1.00,0.82,0.93,0.83,0.91,0.90,0.94,0.88,0.88,0.88,0.83,0.83,0.65,0.85,0.84,0.48,0.66,0.70,0.78,0.53,0.59
120-2,NaN,0.50,0.50,1.00,0.94,0.88,0.81,0.86,0.80,0.82,0.90,0.78,0.64,0.64,0.64,0.85,0.85,0.70,0.78,0.73,0.52,0.71,0.50,0.70,0.63,0.45
120-3,NaN,0.50,0.50,0.50,0.75,0.57,0.78,0.78,0.48,0.65,0.84,0.71,0.68,0.68,0.67,0.80,0.74,0.58,0.50,0.50,0.71,0.50,0.50,0.60,0.50,0.50
121-1,NaN,1.00,1.00,1.00,0.93,1.00,0.78,0.95,0.75,0.88,0.94,0.75,0.57,0.57,0.57,0.85,0.85,0.61,0.73,0.90,0.62,0.57,0.50,0.80,0.49,0.49
121-2,NaN,NaN,NaN,NaN,NaN,1.00,NaN,0.50,0.50,1.00,0.50,NaN,NaN,NaN,NaN,0.50,0.50,0.50,NaN,NaN,1.00,0.67,NaN,NaN,NaN,NaN
121-3,NaN,1.00,1.00,1.00,0.93,1.00,0.81,0.92,0.78,0.88,0.91,0.72,0.56,0.56,0.56,0.87,0.86,0.71,0.71,0.78,0.58,0.76,0.57,0.72,0.48,0.49
122-1,NaN,0.68,0.75,0.75,0.92,0.85,0.81,0.82,0.76,0.80,0.88,0.78,0.61,0.61,0.61,0.86,0.86,0.63,0.69,0.71,0.53,0.68,0.57,0.67,0.47,0.49
124-1,NaN,0.73,0.65,0.64,0.77,0.53,0.74,0.72,0.36,0.49,0.57,0.65,0.76,0.76,0.76,0.38,0.38,0.45,0.77,0.57,0.52,0.34,0.42,0.56,0.47,0.46
124-2,NaN,0.73,0.64,0.64,0.30,0.37,0.28,0.50,0.29,0.23,0.42,0.64,0.40,0.40,0.40,0.37,0.37,0.43,0.62,0.60,0.52,0.39,0.50,0.54,0.51,0.51
124-3,NaN,0.50,0.05,0.03,0.73,0.25,0.74,0.72,0.36,0.42,0.53,0.55,0.76,0.76,0.76,0.25,0.25,0.45,0.77,0.30,0.52,0.34,0.42,0.38,0.47,0.46
125-1,NaN,0.82,0.86,1.00,0.95,1.00,0.74,0.86,0.75,0.90,0.84,0.75,0.60,0.60,0.60,0.79,0.79,0.63,0.77,0.74,0.50,0.68,0.66,0.69,0.50,0.58
125-2,NaN,1.00,1.00,1.00,0.97,0.98,0.72,0.85,0.76,0.88,0.82,0.74,0.75,0.75,0.75,0.75,0.75,0.54,0.82,0.85,0.55,0.63,0.64,0.76,0.46,0.52
125-3,NaN,1.00,0.99,0.99,0.93,0.93,0.81,0.84,0.84,0.82,0.83,0.83,0.74,0.74,0.74,0.79,0.78,0.73,0.86,0.80,0.65,0.63,0.59,0.72,0.43,0.51
126-1,NaN,0.68,0.68,0.79,0.88,0.98,0.77,0.84,0.72,0.86,0.84,0.50,0.50,0.50,0.50,0.82,0.82,0.68,0.62,0.74,0.67,0.66,0.53,0.69,0.51,0.50
127-1,NaN,1.00,1.00,1.00,0.94,1.00,0.81,0.90,0.86,0.90,0.88,0.92,0.81,0.81,0.81,0.86,0.88,0.79,0.82,0.79,0.68,0.65,0.64,0.72,0.49,0.54
127-2,NaN,1.00,1.00,1.00,0.95,1.00,0.80,0.88,0.86,0.91,0.87,0.85,0.77,0.77,0.77,0.88,0.87,0.77,0.81,0.83,0.74,0.72,0.58,0.77,0.56,0.44
127-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
128-1,NaN,1.00,0.98,0.98,0.93,0.95,0.96,0.86,0.86,0.87,0.83,0.88,0.80,0.80,0.81,0.82,0.82,0.84,0.81,0.75,0.49,0.59,0.67,0.70,0.51,0.66
129-1,NaN,1.00,1.00,1.00,0.88,0.98,0.79,0.87,0.85,0.88,0.88,0.89,0.83,0.83,0.83,0.87,0.87,0.83,0.83,0.88,0.73,0.63,0.55,0.77,0.54,0.56
129-2,NaN,1.00,1.00,1.00,0.73,0.94,0.78,0.79,0.80,0.84,0.80,0.90,0.72,0.72,0.73,0.79,0.80,0.74,0.79,0.96,0.69,0.61,0.78,0.74,0.49,0.72
129-3,NaN,1.00,1.00,1.00,0.89,0.97,0.81,0.88,0.86,0.88,0.88,0.89,0.84,0.84,0.84,0.87,0.87,0.83,0.84,0.87,0.73,0.63,0.56,0.77,0.54,0.56
130-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
130-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
130-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
131-1,NaN,0.82,0.86,1.00,0.92,0.97,0.76,0.89,0.80,0.88,0.88,0.77,0.61,0.61,0.61,0.83,0.83,0.65,0.65,0.78,0.59,0.56,0.57,0.71,0.49,0.50
131-2,NaN,0.73,0.79,1.00,0.92,0.99,0.75,0.88,0.81,0.86,0.87,0.78,0.61,0.61,0.61,0.82,0.82,0.63,0.71,0.83,0.52,0.57,0.50,0.77,0.50,0.50
131-3,NaN,1.00,1.00,1.00,0.96,0.97,0.69,0.88,0.75,0.88,0.88,0.82,0.58,0.58,0.58,0.81,0.81,0.67,0.72,0.76,0.54,0.60,0.57,0.67,0.50,0.55
132-1,NaN,1.00,1.00,1.00,0.93,0.97,0.79,0.81,0.86,0.85,0.82,0.72,0.78,0.78,0.76,0.81,0.80,0.78,0.83,0.78,0.79,0.76,0.60,0.72,0.58,0.63
132-2,NaN,1.00,1.00,1.00,0.93,0.97,0.80,0.81,0.82,0.86,0.82,0.72,0.78,0.78,0.76,0.83,0.82,0.74,0.83,0.82,0.75,0.70,0.60,0.76,0.59,0.63
65-1,NaN,1.00,0.99,0.99,0.85,0.72,0.91,0.64,0.91,0.73,0.64,0.84,0.74,0.73,0.73,0.69,0.69,0.82,0.77,0.94,0.61,0.62,0.40,0.84,0.62,0.42
65-2,NaN,1.00,0.99,0.99,0.85,0.75,0.91,0.75,0.91,0.74,0.69,0.89,0.77,0.76,0.75,0.73,0.73,0.86,0.78,0.94,0.64,0.62,0.51,0.85,0.66,0.48
65-3,NaN,1.00,0.99,0.99,0.86,0.72,0.90,0.67,0.91,0.73,0.61,0.85,0.68,0.68,0.68,0.68,0.68,0.82,0.79,0.94,0.62,0.62,0.46,0.85,0.65,0.45
68-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
68-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
69-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
69-2,NaN,1.00,1.00,1.00,0.92,0.89,0.73,0.95,0.77,0.80,0.93,0.87,0.79,0.80,0.80,0.85,0.84,0.67,0.79,0.85,0.67,0.71,0.59,0.79,0.65,0.46
70-1,NaN,0.50,1.00,1.00,0.92,0.95,0.75,0.82,0.77,0.86,0.86,0.83,0.79,0.79,0.79,0.82,0.82,0.72,0.86,0.65,0.85,0.78,0.53,0.72,0.67,0.49
70-2,NaN,1.00,0.99,0.96,0.91,0.57,0.78,0.53,0.80,0.63,0.80,0.82,0.74,0.74,0.76,0.71,0.71,0.70,0.71,0.83,0.58,0.54,0.61,0.72,0.52,0.50
70-3,NaN,0.50,0.82,0.79,0.91,0.88,0.77,0.58,0.84,0.78,0.58,0.49,0.55,0.55,0.55,0.85,0.61,0.77,0.75,0.69,0.63,0.61,0.46,0.63,0.49,0.60
72-1,NaN,0.73,0.78,0.99,0.95,0.99,0.75,0.72,0.79,0.89,0.74,0.65,0.60,0.60,0.60,0.73,0.73,0.73,0.55,0.69,0.59,0.54,0.54,0.65,0.47,0.49
72-2,NaN,0.50,0.50,0.50,0.78,0.57,0.79,0.72,0.70,0.62,0.72,0.60,0.50,0.50,0.50,0.76,0.76,0.71,0.55,0.54,0.52,0.51,0.54,0.53,0.48,0.49
73-1,NaN,1.00,0.93,0.93,0.93,0.75,0.66,0.79,0.79,0.73,0.76,0.78,0.77,0.77,0.77,0.71,0.70,0.61,0.74,0.84,0.51,0.66,0.62,0.76,0.48,0.52
73-2,NaN,1.00,0.93,0.93,0.93,0.75,0.66,0.81,0.79,0.73,0.77,0.81,0.79,0.79,0.79,0.72,0.71,0.62,0.74,0.84,0.51,0.64,0.59,0.76,0.49,0.53
73-3,NaN,1.00,0.94,0.94,0.59,0.70,0.56,0.75,0.73,0.56,0.74,0.80,0.80,0.80,0.79,0.60,0.59,0.57,0.75,0.74,0.53,0.60,0.46,0.65,0.47,0.46
74-1,NaN,0.94,0.95,1.00,0.97,1.00,0.82,0.93,0.73,0.92,0.97,0.89,0.80,0.80,0.80,0.91,0.91,0.66,0.62,0.73,0.51,0.63,0.61,0.72,0.48,0.57
74-2,NaN,0.86,0.88,0.88,0.93,0.96,0.75,0.89,0.76,0.86,0.94,0.78,0.50,0.50,0.50,0.86,0.86,0.65,0.68,0.92,0.51,0.66,0.48,0.78,0.58,0.53
75-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
75-2,NaN,1.00,1.00,1.00,0.93,0.98,0.73,0.96,0.81,0.87,0.94,0.87,0.80,0.80,0.80,0.85,0.85,0.69,0.79,0.85,0.67,0.71,0.59,0.79,0.65,0.46
79-1,NaN,0.95,0.95,0.95,0.95,0.97,0.78,0.71,0.82,0.85,0.81,0.66,0.66,0.66,0.61,0.81,0.80,0.72,0.73,0.70,0.72,0.69,0.51,0.71,0.58,0.41
79-2,NaN,NaN,1.00,1.00,0.95,1.00,0.85,0.77,0.90,0.81,0.89,0.77,0.74,0.73,0.73,0.87,0.85,0.81,0.80,0.62,0.76,0.67,0.44,0.71,0.50,0.44
79-3,NaN,0.95,0.95,1.00,0.96,1.00,0.76,0.83,0.82,0.86,0.89,0.67,0.66,0.66,0.62,0.86,0.84,0.73,0.75,0.71,0.69,0.70,0.49,0.70,0.55,0.39
80-1,NaN,0.94,0.95,1.00,0.96,0.96,0.82,0.93,0.79,0.90,0.97,0.89,0.80,0.80,0.80,0.91,0.91,0.71,0.62,0.73,0.52,0.64,0.61,0.72,0.48,0.57
80-2,NaN,0.91,0.92,1.00,0.93,0.99,0.75,0.92,0.79,0.88,0.94,0.78,0.60,0.60,0.60,0.85,0.85,0.67,0.68,0.92,0.49,0.66,0.48,0.78,0.59,0.53
81-1,NaN,0.50,0.61,0.61,0.91,0.78,0.49,0.83,0.53,0.78,0.83,0.81,0.50,0.50,0.50,0.71,0.71,0.46,0.75,0.74,0.62,0.65,0.62,0.71,0.50,0.57
81-2,NaN,0.50,0.61,0.61,0.91,0.78,0.49,0.83,0.53,0.78,0.83,0.81,0.50,0.50,0.50,0.71,0.71,0.46,0.75,0.74,0.62,0.65,0.62,0.70,0.50,0.57
82-1,NaN,1.00,1.00,1.00,0.91,0.87,0.89,0.88,0.89,0.82,0.83,0.88,0.82,0.82,0.82,0.83,0.83,0.83,0.81,0.80,0.66,0.65,0.61,0.73,0.52,0.55
83-1,NaN,1.00,1.00,1.00,0.97,0.99,0.84,0.90,0.86,0.89,0.91,0.94,0.92,0.92,0.92,0.85,0.86,0.74,0.87,0.73,0.46,0.47,0.54,0.64,0.48,0.63
83-2,NaN,1.00,1.00,1.00,0.97,1.00,0.84,0.90,0.86,0.90,0.91,0.94,0.92,0.92,0.92,0.85,0.86,0.74,0.87,0.73,0.46,0.48,0.54,0.64,0.48,0.63
84-1,NaN,0.94,0.85,0.85,0.74,0.51,0.85,0.73,0.78,0.64,0.67,0.85,0.86,0.86,0.86,0.58,0.58,0.79,0.49,0.45,0.42,0.56,0.50,0.49,0.54,0.50
85-1,NaN,1.00,1.00,1.00,0.94,0.99,0.85,0.90,0.85,0.89,0.88,0.93,0.88,0.88,0.88,0.84,0.84,0.74,0.86,0.76,0.71,0.65,0.70,0.73,0.49,0.66
85-2,NaN,1.00,1.00,1.00,0.93,0.95,0.79,0.89,0.82,0.89,0.86,0.92,0.87,0.87,0.88,0.82,0.82,0.62,0.79,0.75,0.51,0.51,0.56,0.72,0.44,0.60
86-1,NaN,0.91,0.86,0.86,0.72,0.83,0.65,0.75,0.68,0.72,0.80,0.55,0.50,0.50,0.50,0.73,0.73,0.63,0.63,0.50,0.62,0.63,0.57,0.49,0.51,0.50
86-2,NaN,0.91,0.86,0.86,0.72,0.83,0.65,0.75,0.68,0.72,0.80,0.55,0.50,0.50,0.50,0.73,0.73,0.63,0.63,0.50,0.62,0.63,0.57,0.49,0.51,0.50
86-3,NaN,0.91,0.88,0.88,0.67,0.84,0.60,0.70,0.61,0.70,0.70,0.55,0.50,0.50,0.50,0.67,0.67,0.58,0.60,0.50,0.67,0.67,0.57,0.49,0.49,0.50
87-1,NaN,0.91,0.93,1.00,0.98,0.99,0.81,0.84,0.78,0.90,0.86,0.72,0.61,0.61,0.61,0.84,0.83,0.70,0.73,0.69,0.61,0.65,0.63,0.67,0.43,0.52
87-2,NaN,0.91,0.92,1.00,0.97,0.99,0.82,0.77,0.74,0.90,0.83,0.72,0.61,0.61,0.61,0.83,0.83,0.67,0.70,0.64,0.54,0.65,0.63,0.63,0.43,0.53
87-3,NaN,NaN,1.00,1.00,0.89,0.99,0.83,0.87,0.80,0.86,0.90,0.78,0.62,0.62,0.62,0.86,0.85,0.74,0.70,0.69,0.69,0.70,0.62,0.67,0.47,0.53
88-1,NaN,1.00,0.96,0.96,0.88,0.97,0.68,0.78,0.73,0.85,0.77,0.63,0.54,0.54,0.54,0.72,0.72,0.69,0.71,0.74,0.72,0.67,0.52,0.65,0.51,0.47
89-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
91-1,NaN,0.50,0.50,0.50,0.48,0.57,0.48,0.62,0.46,0.54,0.53,0.49,0.56,0.56,0.56,0.50,0.50,0.54,0.49,0.48,0.46,0.36,0.48,0.44,0.44,0.47
91-2,NaN,0.50,0.50,0.50,0.47,0.56,0.48,0.62,0.46,0.55,0.60,0.49,0.56,0.56,0.56,0.54,0.54,0.54,0.49,0.48,0.48,0.38,0.48,0.44,0.44,0.47
91-3,NaN,0.47,0.45,0.45,0.52,0.53,0.65,0.66,0.59,0.36,0.66,0.40,0.49,0.49,0.49,0.68,0.68,0.59,0.50,0.83,0.55,0.49,0.50,0.83,0.47,0.50
93-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
93-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
94-1,NaN,0.64,0.71,1.00,0.93,0.98,0.78,0.87,0.75,0.83,0.93,0.74,0.60,0.60,0.60,0.84,0.84,0.61,0.74,0.77,0.59,0.75,0.60,0.70,0.48,0.52
95-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
95-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
96-1,NaN,0.50,0.50,0.50,0.49,0.55,0.50,0.48,0.50,0.51,0.48,0.51,0.51,0.51,0.51,0.45,0.45,0.50,0.50,0.50,0.50,0.50,0.52,0.50,0.50,0.51
