ID-model,GO:0005575,GO:0031981,GO:0070013,GO:0043233,GO:0031974,GO:0044428,GO:0030054,GO:0005886,GO:0071944,GO:0005739,GO:0070161,GO:0032991,GO:0005615,GO:0005912,GO:0044421,GO:0005634,GO:0005730,GO:0005576,GO:0043234,GO:0043228,GO:0043232,GO:0005829,GO:0043231,GO:0005856,GO:0016020,GO:0044444,GO:0005794,GO:0005924,GO:0043229,GO:0030055,GO:0031988,GO:0044446,GO:0044422,GO:0031982,GO:0070062,GO:0043230,GO:0065010,GO:0005925,GO:0044424,GO:0005622,GO:0005737,GO:0043227,GO:0043226,GO:0005623,GO:0044464
103-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
103-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
103-3,NaN,0.59,0.59,0.59,0.59,0.57,0.64,0.63,0.63,0.83,0.58,0.58,0.50,0.58,0.53,0.79,0.55,0.61,0.62,0.59,0.59,0.61,0.80,0.59,0.67,0.71,0.72,0.59,0.75,0.59,0.50,0.51,0.51,0.49,0.50,0.50,0.50,0.55,0.69,0.69,0.62,0.62,0.59,0.66,0.66
104-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
104-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
104-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
105-1,NaN,0.79,0.76,0.76,0.75,0.74,0.76,0.74,0.74,0.77,0.75,0.47,0.73,0.75,0.66,0.65,0.65,0.67,0.48,0.64,0.64,0.60,0.65,0.69,0.67,0.55,0.80,0.74,0.64,0.73,0.59,0.59,0.59,0.58,0.55,0.55,0.55,0.74,0.61,0.61,0.60,0.46,0.45,0.60,0.60
105-2,NaN,0.77,0.77,0.76,0.76,0.76,0.75,0.74,0.74,0.83,0.69,0.54,0.70,0.69,0.65,0.73,0.62,0.66,0.56,0.69,0.69,0.60,0.71,0.74,0.62,0.62,0.82,0.64,0.68,0.64,0.62,0.61,0.61,0.61,0.55,0.55,0.55,0.64,0.61,0.61,0.58,0.49,0.48,0.58,0.58
105-3,NaN,0.78,0.77,0.76,0.76,0.77,0.72,0.71,0.70,0.79,0.66,0.53,0.71,0.66,0.72,0.68,0.58,0.72,0.57,0.65,0.65,0.59,0.66,0.71,0.63,0.57,0.78,0.60,0.62,0.59,0.61,0.57,0.58,0.61,0.57,0.57,0.57,0.60,0.56,0.56,0.55,0.49,0.48,0.53,0.53
106-1,NaN,0.66,0.65,0.65,0.65,0.63,0.57,0.63,0.68,0.61,0.50,0.57,0.50,0.50,0.53,0.70,0.62,0.57,0.59,0.62,0.62,0.74,0.67,0.64,0.58,0.66,0.48,0.50,0.63,0.50,0.51,0.54,0.54,0.51,0.50,0.50,0.50,0.50,0.63,0.62,0.54,0.51,0.45,0.57,0.57
106-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
106-3,NaN,0.66,0.65,0.65,0.65,0.65,0.59,0.67,0.74,0.48,0.50,0.63,0.49,0.50,0.53,0.70,0.49,0.58,0.64,0.66,0.66,0.73,0.70,0.67,0.58,0.67,0.47,0.50,0.66,0.50,0.52,0.57,0.56,0.52,0.50,0.50,0.50,0.50,0.69,0.69,0.58,0.55,0.51,0.66,0.66
107-1,NaN,0.77,0.76,0.75,0.74,0.75,0.75,0.70,0.69,0.75,0.71,0.47,0.68,0.70,0.64,0.66,0.58,0.66,0.49,0.59,0.59,0.61,0.60,0.68,0.62,0.55,0.83,0.65,0.57,0.65,0.60,0.56,0.55,0.60,0.55,0.55,0.55,0.65,0.55,0.55,0.56,0.49,0.46,0.55,0.55
107-2,NaN,0.72,0.69,0.69,0.68,0.71,0.81,0.72,0.72,0.79,0.69,0.63,0.68,0.69,0.64,0.74,0.58,0.65,0.64,0.69,0.69,0.60,0.73,0.69,0.57,0.62,0.68,0.65,0.72,0.65,0.60,0.56,0.56,0.59,0.55,0.55,0.55,0.65,0.66,0.66,0.58,0.50,0.53,0.60,0.60
107-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
108-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
109-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
110-1,NaN,0.50,0.50,0.50,0.50,0.50,0.53,0.55,0.55,0.50,0.53,0.53,0.50,0.53,0.50,0.50,0.50,0.50,0.53,0.50,0.50,0.52,0.50,0.50,0.51,0.52,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.51,0.51,0.52,0.50,0.50,0.51,0.51
110-2,NaN,0.76,0.76,0.76,0.78,0.79,0.77,0.71,0.70,0.62,0.73,0.62,0.66,0.71,0.63,0.75,0.58,0.67,0.63,0.73,0.73,0.61,0.66,0.78,0.57,0.70,0.60,0.64,0.64,0.68,0.59,0.59,0.59,0.58,0.49,0.50,0.50,0.50,0.64,0.64,0.60,0.50,0.51,0.60,0.60
110-3,NaN,0.65,0.63,0.63,0.63,0.65,0.79,0.68,0.71,0.75,0.86,0.60,0.63,0.87,0.57,0.64,0.67,0.57,0.61,0.60,0.60,0.59,0.59,0.74,0.52,0.59,0.55,0.87,0.58,0.86,0.58,0.56,0.55,0.58,0.49,0.51,0.51,0.82,0.60,0.60,0.57,0.50,0.49,0.59,0.59
111-1,NaN,0.57,0.57,0.57,0.57,0.56,0.52,0.57,0.56,0.54,0.53,0.61,0.50,0.53,0.50,0.54,0.55,0.50,0.63,0.61,0.61,0.52,0.53,0.54,0.53,0.56,0.49,0.49,0.55,0.49,0.50,0.56,0.56,0.50,0.50,0.50,0.50,0.50,0.52,0.52,0.53,0.51,0.52,0.50,0.50
111-2,NaN,0.72,0.70,0.69,0.69,0.71,0.76,0.67,0.69,0.75,0.83,0.60,0.63,0.85,0.57,0.66,0.71,0.57,0.62,0.67,0.67,0.58,0.59,0.72,0.51,0.60,0.54,0.86,0.59,0.85,0.58,0.58,0.57,0.57,0.49,0.50,0.50,0.82,0.60,0.60,0.57,0.50,0.50,0.57,0.57
111-3,NaN,0.59,0.58,0.58,0.58,0.60,0.45,0.59,0.54,1.00,0.46,0.65,0.50,0.46,0.52,0.64,0.57,0.52,0.72,0.68,0.67,0.49,0.64,0.58,0.56,0.77,0.48,0.46,0.66,0.46,0.51,0.60,0.58,0.49,0.50,0.50,0.50,0.50,0.56,0.56,0.65,0.54,0.51,0.41,0.41
112-1,NaN,0.82,0.78,0.77,0.79,0.82,0.83,0.72,0.73,0.70,0.81,0.66,0.72,0.80,0.64,0.77,0.64,0.66,0.67,0.74,0.74,0.60,0.67,0.79,0.58,0.69,0.57,0.77,0.64,0.78,0.62,0.64,0.63,0.60,0.49,0.51,0.51,0.63,0.64,0.64,0.60,0.51,0.52,0.58,0.58
112-2,NaN,0.81,0.78,0.77,0.79,0.82,0.81,0.73,0.73,0.70,0.79,0.65,0.70,0.78,0.64,0.77,0.64,0.66,0.67,0.74,0.74,0.60,0.67,0.79,0.59,0.69,0.58,0.75,0.64,0.76,0.62,0.63,0.63,0.60,0.49,0.51,0.51,0.63,0.64,0.63,0.60,0.51,0.52,0.58,0.58
112-3,NaN,0.82,0.78,0.77,0.79,0.82,0.83,0.72,0.74,0.69,0.81,0.63,0.71,0.80,0.64,0.77,0.64,0.65,0.64,0.74,0.74,0.61,0.67,0.79,0.57,0.70,0.57,0.77,0.65,0.78,0.61,0.62,0.61,0.60,0.49,0.51,0.51,0.63,0.67,0.67,0.62,0.50,0.52,0.62,0.62
113-1,NaN,0.81,0.77,0.76,0.79,0.82,0.81,0.73,0.74,0.69,0.79,0.63,0.70,0.78,0.64,0.76,0.64,0.66,0.63,0.74,0.74,0.60,0.67,0.79,0.57,0.70,0.58,0.75,0.65,0.76,0.62,0.62,0.61,0.60,0.49,0.51,0.51,0.63,0.67,0.67,0.62,0.51,0.52,0.62,0.62
113-2,NaN,0.79,0.77,0.77,0.76,0.78,0.77,0.64,0.67,0.73,0.84,0.60,0.65,0.86,0.59,0.65,0.77,0.58,0.63,0.66,0.66,0.56,0.58,0.69,0.50,0.57,0.53,0.86,0.57,0.86,0.61,0.62,0.60,0.60,0.50,0.51,0.51,0.81,0.58,0.58,0.56,0.51,0.51,0.55,0.55
113-3,NaN,0.58,0.57,0.57,0.57,0.59,0.53,0.72,0.66,1.00,0.56,0.65,0.48,0.56,0.52,0.62,0.58,0.52,0.73,0.67,0.66,0.72,0.64,0.57,0.60,0.80,0.45,0.45,0.65,0.45,0.54,0.57,0.56,0.52,0.52,0.52,0.52,0.49,0.56,0.56,0.69,0.56,0.51,0.39,0.39
114-1,NaN,0.81,0.80,0.80,0.80,0.76,0.72,0.74,0.74,0.83,0.73,0.67,0.73,0.73,0.66,0.78,0.65,0.69,0.68,0.71,0.71,0.78,0.76,0.68,0.64,0.72,0.70,0.74,0.71,0.74,0.59,0.65,0.65,0.59,0.50,0.50,0.50,0.73,0.66,0.66,0.65,0.55,0.53,0.62,0.62
115-1,NaN,0.83,0.83,0.83,0.82,0.77,0.74,0.72,0.71,0.85,0.73,0.66,0.74,0.71,0.65,0.75,0.70,0.65,0.69,0.70,0.70,0.64,0.75,0.72,0.65,0.67,0.75,0.71,0.70,0.71,0.58,0.62,0.62,0.56,0.54,0.54,0.54,0.67,0.66,0.67,0.61,0.52,0.51,0.60,0.60
116-1,NaN,0.63,0.63,0.63,0.63,0.61,0.64,0.54,0.53,0.76,0.62,0.61,0.54,0.58,0.54,0.74,0.62,0.60,0.65,0.67,0.67,0.53,0.72,0.66,0.58,0.63,0.74,0.58,0.68,0.62,0.50,0.56,0.56,0.49,0.50,0.50,0.50,0.54,0.67,0.68,0.60,0.52,0.50,0.63,0.63
116-2,NaN,0.50,0.50,0.50,0.50,0.50,0.66,0.61,0.61,0.76,0.62,0.46,0.47,0.62,0.52,0.64,0.50,0.59,0.47,0.56,0.56,0.49,0.67,NaN,0.57,0.58,0.62,0.64,0.63,0.64,0.50,0.63,0.63,0.50,0.50,0.50,0.50,0.57,0.58,0.60,0.54,0.45,0.42,0.57,0.57
117-1,NaN,0.80,0.77,0.76,0.76,0.81,0.75,0.68,0.68,0.72,0.77,0.74,0.66,0.75,0.68,0.72,0.69,0.67,0.72,0.64,0.64,0.66,0.66,0.69,0.60,0.67,0.67,0.74,0.63,0.72,0.64,0.65,0.64,0.63,0.61,0.60,0.60,0.72,0.60,0.60,0.61,0.55,0.51,0.56,0.56
117-2,NaN,0.73,0.73,0.73,0.73,0.70,0.49,0.48,0.46,0.99,0.50,0.64,0.59,0.50,0.50,0.74,0.50,0.52,0.64,0.88,0.88,0.50,0.65,0.92,0.43,0.75,NaN,0.50,0.56,0.50,0.54,0.83,0.79,0.51,0.50,0.48,0.48,0.50,0.52,0.50,0.60,0.55,0.57,0.45,0.45
119-1,NaN,0.79,0.77,0.76,0.76,0.78,0.82,0.75,0.75,0.86,0.77,0.69,0.65,0.77,0.67,0.75,0.62,0.69,0.62,0.65,0.65,0.66,0.69,0.64,0.62,0.66,0.76,0.74,0.64,0.74,0.62,0.60,0.59,0.60,0.56,0.56,0.56,0.71,0.60,0.60,0.58,0.57,0.58,0.55,0.55
120-1,NaN,0.84,0.83,0.82,0.82,0.80,0.76,0.75,0.75,0.89,0.78,0.68,0.73,0.78,0.72,0.80,0.75,0.74,0.65,0.70,0.70,0.73,0.75,0.65,0.62,0.68,0.76,0.70,0.70,0.70,0.65,0.64,0.64,0.64,0.60,0.61,0.60,0.71,0.67,0.67,0.64,0.56,0.54,0.63,0.63
120-2,NaN,0.83,0.83,0.83,0.83,0.79,0.62,0.72,0.72,0.80,0.59,0.60,0.68,0.59,0.60,0.76,0.62,0.64,0.60,0.57,0.57,0.66,0.73,0.62,0.61,0.64,0.69,0.50,0.70,0.50,0.56,0.65,0.65,0.56,0.50,0.50,0.50,0.50,0.63,0.63,0.56,0.52,0.50,0.53,0.53
120-3,NaN,0.79,0.79,0.79,0.79,0.78,0.50,0.66,0.67,0.75,0.50,0.60,0.66,0.50,0.61,0.78,0.64,0.62,0.62,0.64,0.64,0.55,0.73,0.61,0.65,0.57,0.47,0.50,0.74,0.50,0.51,0.69,0.69,0.52,0.50,0.50,0.50,0.50,0.72,0.72,0.51,0.55,0.56,0.65,0.65
121-1,NaN,0.58,0.58,0.58,0.58,0.57,0.58,0.65,0.64,0.87,0.55,0.50,0.50,0.55,0.54,0.79,0.54,0.62,0.52,0.56,0.56,0.61,0.76,0.63,0.65,0.71,0.80,0.50,0.71,0.50,0.50,0.51,0.50,0.49,0.50,0.50,0.50,0.50,0.67,0.67,0.59,0.60,0.56,0.62,0.62
121-2,NaN,0.46,0.46,0.46,0.46,0.46,NaN,NaN,NaN,NaN,NaN,0.46,0.66,NaN,0.81,0.80,NaN,0.81,0.46,0.50,0.50,0.96,0.80,NaN,0.50,0.92,NaN,NaN,0.75,NaN,0.56,0.46,0.46,0.47,0.56,0.56,0.56,NaN,0.93,0.93,0.61,0.67,0.25,0.93,0.93
121-3,NaN,0.60,0.60,0.60,0.60,0.58,0.60,0.67,0.66,0.88,0.58,0.61,0.50,0.58,0.53,0.78,0.54,0.61,0.59,0.60,0.60,0.65,0.78,0.62,0.66,0.73,0.79,0.55,0.71,0.55,0.50,0.50,0.49,0.49,0.50,0.50,0.50,0.55,0.64,0.64,0.60,0.60,0.56,0.61,0.61
122-1,NaN,0.62,0.66,0.66,0.66,0.60,0.62,0.64,0.64,0.83,0.58,0.67,0.60,0.58,0.55,0.76,0.58,0.58,0.67,0.71,0.71,0.58,0.74,0.71,0.65,0.68,0.57,0.59,0.69,0.59,0.51,0.64,0.64,0.51,0.50,0.50,0.50,0.59,0.64,0.65,0.57,0.57,0.53,0.60,0.60
124-1,NaN,0.72,0.70,0.70,0.70,0.71,0.72,0.57,0.57,0.68,0.76,0.51,0.51,0.76,0.61,0.40,0.69,0.60,0.55,0.55,0.55,0.54,0.31,0.70,0.58,0.51,0.54,0.74,0.32,0.74,0.48,0.46,0.45,0.49,0.57,0.57,0.57,0.75,0.38,0.38,0.43,0.42,0.43,0.38,0.38
124-2,NaN,0.63,0.63,0.63,0.63,0.64,0.61,0.48,0.48,0.59,0.59,0.45,0.44,0.59,0.54,0.48,0.47,0.50,0.44,0.43,0.43,0.51,0.29,0.65,0.51,0.45,0.67,0.59,0.31,0.59,0.48,0.43,0.43,0.49,0.50,0.50,0.50,0.56,0.36,0.36,0.42,0.45,0.46,0.37,0.37
124-3,NaN,0.72,0.65,0.64,0.65,0.68,0.62,0.52,0.47,0.60,0.68,0.51,0.51,0.68,0.57,0.36,0.69,0.56,0.56,0.51,0.51,0.54,0.29,0.61,0.50,0.48,0.35,0.68,0.31,0.68,0.51,0.44,0.44,0.53,0.57,0.57,0.57,0.69,0.37,0.37,0.43,0.42,0.43,0.38,0.38
125-1,NaN,0.80,0.82,0.81,0.81,0.76,0.62,0.77,0.76,0.86,0.59,0.60,0.69,0.59,0.60,0.78,0.58,0.64,0.63,0.68,0.68,0.76,0.76,0.70,0.64,0.71,0.69,0.59,0.72,0.59,0.51,0.65,0.64,0.50,0.50,0.50,0.50,0.56,0.67,0.67,0.64,0.55,0.54,0.63,0.63
125-2,NaN,0.70,0.71,0.70,0.70,0.69,0.72,0.77,0.77,0.81,0.71,0.62,0.65,0.71,0.64,0.77,0.53,0.70,0.60,0.63,0.63,0.64,0.72,0.71,0.65,0.64,0.79,0.71,0.70,0.70,0.60,0.58,0.57,0.59,0.55,0.55,0.55,0.68,0.67,0.67,0.62,0.52,0.50,0.64,0.64
125-3,NaN,0.81,0.77,0.76,0.76,0.77,0.74,0.64,0.63,0.83,0.75,0.72,0.68,0.72,0.70,0.66,0.73,0.73,0.70,0.65,0.65,0.58,0.62,0.60,0.53,0.59,0.65,0.63,0.59,0.63,0.66,0.57,0.56,0.64,0.57,0.57,0.58,0.63,0.58,0.58,0.57,0.62,0.59,0.55,0.55
126-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
127-1,NaN,0.83,0.81,0.81,0.80,0.88,0.86,0.70,0.71,0.75,0.77,0.71,0.69,0.77,0.65,0.78,0.60,0.67,0.63,0.75,0.74,0.72,0.71,0.68,0.62,0.60,0.73,0.71,0.67,0.70,0.56,0.69,0.68,0.57,0.53,0.53,0.53,0.68,0.58,0.58,0.56,0.53,0.50,0.51,0.51
127-2,NaN,0.86,0.85,0.83,0.81,0.88,0.74,0.72,0.76,0.75,0.73,0.68,0.73,0.74,0.64,0.79,0.63,0.66,0.61,0.75,0.74,0.68,0.72,0.76,0.64,0.64,0.75,0.68,0.69,0.68,0.56,0.69,0.70,0.54,0.50,0.51,0.51,0.65,0.68,0.68,0.56,0.54,0.53,0.59,0.59
127-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
128-1,NaN,0.72,0.66,0.64,0.64,0.66,0.63,0.60,0.64,0.70,0.64,0.59,0.57,0.61,0.65,0.68,0.48,0.66,0.62,0.65,0.65,0.61,0.53,0.79,0.56,0.62,0.60,0.57,0.51,0.56,0.62,0.54,0.53,0.62,0.60,0.60,0.60,0.52,0.53,0.53,0.57,0.55,0.51,0.50,0.50
129-1,NaN,0.83,0.82,0.81,0.81,0.80,0.79,0.78,0.78,0.69,0.78,0.76,0.76,0.79,0.65,0.77,0.73,0.67,0.73,0.71,0.71,0.75,0.73,0.71,0.63,0.69,0.70,0.72,0.68,0.71,0.64,0.66,0.66,0.63,0.61,0.61,0.61,0.71,0.64,0.64,0.60,0.53,0.48,0.57,0.57
129-2,NaN,0.90,0.89,0.88,0.88,0.86,0.83,0.76,0.76,0.76,0.80,0.76,0.74,0.80,0.63,0.80,0.85,0.65,0.73,0.75,0.75,0.76,0.75,0.75,0.64,0.70,0.67,0.72,0.69,0.70,0.64,0.66,0.66,0.63,0.61,0.62,0.61,0.73,0.65,0.64,0.60,0.50,0.45,0.57,0.57
129-3,NaN,0.84,0.83,0.82,0.82,0.80,0.78,0.78,0.77,0.69,0.79,0.76,0.77,0.79,0.66,0.78,0.74,0.68,0.73,0.72,0.72,0.75,0.73,0.71,0.62,0.70,0.69,0.66,0.69,0.67,0.64,0.68,0.67,0.63,0.62,0.60,0.60,0.64,0.64,0.64,0.61,0.53,0.48,0.57,0.57
130-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
130-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
130-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
131-1,NaN,0.65,0.66,0.66,0.66,0.62,0.63,0.66,0.66,0.87,0.59,0.61,0.53,0.59,0.56,0.80,0.57,0.62,0.64,0.63,0.63,0.64,0.78,0.66,0.63,0.68,0.58,0.59,0.72,0.59,0.49,0.54,0.53,0.48,0.50,0.50,0.50,0.56,0.67,0.67,0.64,0.53,0.52,0.60,0.60
131-2,NaN,0.60,0.61,0.61,0.61,0.58,0.62,0.66,0.66,0.87,0.59,0.62,0.55,0.59,0.56,0.78,0.57,0.62,0.65,0.63,0.63,0.61,0.76,0.66,0.64,0.67,0.70,0.59,0.70,0.59,0.50,0.57,0.56,0.49,0.50,0.50,0.50,0.56,0.64,0.64,0.61,0.54,0.52,0.57,0.57
