ID-model,GO:0003674,GO:0016409,GO:0070011,GO:0016747,GO:0016757,GO:0016746,GO:0022891,GO:0022857,GO:0016773,GO:0008233,GO:0016491,GO:0017111,GO:0016462,GO:0016818,GO:0016817,GO:0016301,GO:0016788,GO:0016772,GO:0016740,GO:0004672,GO:0016874,GO:0004842,GO:0019787,GO:0016881,GO:0016879,GO:0022892,GO:0003677,GO:0005215,GO:0016787,GO:0000166,GO:1901265,GO:0003676,GO:0000975,GO:0044212,GO:0001067,GO:0043565,GO:0001071,GO:0003700,GO:0003824,GO:0097159,GO:1901363,GO:0036094,GO:0000976,GO:0030695,GO:0000981,GO:0043168,GO:0000977,GO:0001012,GO:0008289,GO:0060589,GO:0008092,GO:0008047,GO:0030234,GO:0017016,GO:0043167,GO:0031267,GO:0051020,GO:0017137,GO:0032403,GO:0005488,GO:0046872,GO:0005102,GO:0005515,GO:0043169,GO:0042802,GO:0019899,GO:0042803,GO:0046983
BLAST-S11,NaN,1.00,0.99,0.99,0.94,0.99,0.92,0.92,0.96,0.96,0.98,0.96,0.96,0.96,0.96,0.92,0.94,0.91,0.90,0.91,0.93,0.92,0.92,0.92,0.92,0.87,0.87,0.86,0.92,0.88,0.88,0.86,0.65,0.65,0.65,0.80,0.86,0.86,0.84,0.81,0.81,0.82,0.70,0.83,0.67,0.81,0.67,0.67,0.75,0.73,0.79,0.71,0.68,0.57,0.62,0.57,0.56,0.61,0.64,0.64,0.45,0.59,0.62,0.42,0.47,0.47,0.44,0.41
BLAST-S14,NaN,1.00,0.99,0.99,0.99,0.99,0.99,0.98,0.98,0.96,0.95,0.94,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.92,0.92,0.92,0.92,0.92,0.92,0.91,0.91,0.91,0.90,0.90,0.90,0.89,0.89,0.89,0.86,0.86,0.86,0.85,0.85,0.85,0.83,0.83,0.83,0.82,0.80,0.74,0.74,0.73,0.73,0.72,0.70,0.68,0.66,0.66,0.66,0.65,0.62,0.61,0.60,0.59,0.59,0.58,0.55,0.54,0.47,0.44,0.43
Naive-S11,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
Naive-S14,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
101-1,NaN,1.00,0.99,0.99,0.99,0.99,0.89,0.85,0.94,0.96,0.97,0.91,0.91,0.91,0.91,0.94,0.97,0.94,0.95,0.95,0.80,0.68,0.68,0.68,0.68,0.83,0.88,0.83,0.92,0.71,0.71,0.87,0.50,0.50,0.50,0.80,0.86,0.86,0.87,0.77,0.78,0.69,0.50,0.85,0.50,0.73,0.50,0.50,0.74,0.77,0.64,0.77,0.71,0.54,0.58,0.54,0.54,0.50,0.52,0.42,0.63,0.46,0.51,0.62,0.54,0.49,0.56,0.54
101-2,NaN,1.00,0.96,1.00,1.00,1.00,0.89,0.86,0.91,0.93,1.00,0.84,0.84,0.84,0.84,0.92,0.92,0.93,0.98,0.91,0.63,0.55,0.60,0.60,0.60,0.84,0.85,0.84,0.92,0.73,0.73,0.87,0.50,0.50,0.50,0.77,0.84,0.84,0.89,0.83,0.83,0.68,0.50,0.77,0.50,0.57,0.50,0.50,0.64,0.71,0.50,0.71,0.73,0.54,0.52,0.54,0.54,0.50,0.50,0.69,0.64,0.49,0.63,0.61,0.51,0.51,0.49,0.49
101-3,NaN,1.00,0.99,1.00,1.00,1.00,0.89,0.85,0.95,0.96,1.00,0.91,0.92,0.92,0.92,0.96,0.97,0.97,0.98,0.95,0.79,0.67,0.67,0.67,0.67,0.83,0.93,0.84,0.95,0.75,0.75,0.94,0.50,0.50,0.50,0.82,0.87,0.87,0.89,0.86,0.86,0.72,0.50,0.86,0.50,0.76,0.50,0.50,0.74,0.77,0.64,0.78,0.72,0.54,0.63,0.54,0.54,0.50,0.52,0.59,0.66,0.46,0.67,0.62,0.54,0.49,0.56,0.54
102-1,NaN,1.00,0.99,1.00,1.00,1.00,0.93,0.97,0.93,0.98,0.99,0.99,0.98,0.98,0.98,0.94,0.95,0.98,0.98,0.93,0.86,0.85,0.85,0.85,0.85,0.94,0.92,0.97,0.95,0.89,0.90,0.93,0.84,0.84,0.84,0.87,0.86,0.86,0.88,0.88,0.88,0.85,0.75,0.97,0.75,0.84,0.64,0.64,0.81,0.88,0.83,0.80,0.82,0.75,0.71,0.75,0.74,0.75,0.62,0.65,0.68,0.50,0.69,0.63,0.47,0.49,0.51,0.45
102-2,NaN,1.00,0.99,1.00,1.00,1.00,0.94,0.95,0.93,0.95,0.99,0.99,0.98,0.98,0.98,0.94,0.95,0.95,0.97,0.93,0.87,0.86,0.86,0.86,0.86,0.94,0.91,0.94,0.93,0.89,0.89,0.91,0.82,0.82,0.82,0.87,0.80,0.80,0.89,0.88,0.87,0.84,0.75,0.97,0.75,0.84,0.64,0.64,0.80,0.89,0.84,0.80,0.83,0.75,0.73,0.75,0.75,0.75,0.63,0.63,0.71,0.50,0.67,0.67,0.47,0.49,0.51,0.46
102-3,NaN,0.50,0.50,0.53,0.54,0.53,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.56,0.50,0.52,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.52,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.52,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.52,0.50,0.50,0.50,0.50,0.49,0.55,0.50,0.49,0.54,0.50,0.50,0.50,0.50
