ID-model,GO:0003674,GO:0016757,GO:0003677,GO:0003676,GO:0016787,GO:0016740,GO:0000975,GO:0001067,GO:0044212,GO:0097159,GO:1901363,GO:0003824,GO:0016772,GO:0043167,GO:0008092,GO:0042802,GO:0005488,GO:0005515,GO:0032403,GO:0019899
105-1,NaN,1.00,0.95,0.94,0.94,0.95,0.92,0.92,0.92,0.76,0.76,0.86,0.86,0.61,0.73,0.60,0.52,0.64,0.76,0.46
105-2,NaN,1.00,0.96,0.96,0.94,0.95,0.88,0.88,0.88,0.84,0.84,0.88,0.85,0.65,0.71,0.65,0.53,0.64,0.69,0.46
105-3,NaN,1.00,0.96,0.95,0.94,0.95,0.85,0.85,0.85,0.81,0.81,0.87,0.92,0.62,0.73,0.69,0.52,0.61,0.69,0.43
106-1,NaN,0.90,0.89,0.95,0.80,0.72,0.58,0.58,0.58,0.87,0.87,0.73,0.64,0.72,0.62,0.49,0.70,0.62,0.50,0.50
106-2,NaN,0.75,0.50,0.50,0.65,0.56,0.50,0.50,0.50,0.87,0.87,0.57,0.49,0.75,0.50,0.50,0.55,0.49,0.50,0.50
106-3,NaN,1.00,1.00,0.98,0.95,0.85,0.67,0.67,0.67,0.81,0.81,0.83,0.80,0.69,0.70,NaN,0.59,0.60,0.50,0.49
107-1,NaN,1.00,0.93,0.91,0.94,0.96,0.81,0.81,0.81,0.76,0.76,0.88,0.95,0.60,0.68,0.67,0.45,0.60,0.59,0.51
107-2,NaN,0.99,0.95,0.97,0.97,0.96,0.86,0.86,0.86,0.84,0.84,0.91,0.93,0.66,0.62,0.61,0.46,0.58,0.46,0.59
107-3,NaN,NaN,NaN,NaN,NaN,0.25,NaN,NaN,NaN,NaN,NaN,NaN,0.25,0.33,NaN,NaN,0.33,NaN,NaN,NaN
108-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
109-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
110-1,NaN,0.85,0.68,0.70,0.80,0.67,0.73,0.73,0.73,0.59,0.59,0.67,0.66,0.47,0.52,0.46,0.52,0.50,0.69,0.40
110-2,NaN,1.00,0.89,0.89,0.97,0.98,0.75,0.76,0.67,0.84,0.85,0.93,0.91,0.75,0.93,0.61,0.72,0.75,0.62,0.53
110-3,NaN,0.91,0.74,0.69,0.67,0.67,0.69,0.69,0.69,0.65,0.65,0.66,0.73,0.67,0.74,0.56,0.64,0.67,0.49,0.54
111-1,NaN,0.85,0.77,0.78,0.83,0.69,0.79,0.79,0.79,0.69,0.69,0.69,0.71,0.51,0.60,0.44,0.58,0.52,0.68,0.40
111-2,NaN,0.91,0.75,0.75,0.67,0.70,0.72,0.72,0.72,0.71,0.71,0.68,0.74,0.74,0.72,0.60,0.66,0.67,0.49,0.54
111-3,NaN,NaN,0.64,0.72,0.48,1.00,0.83,0.83,0.83,0.87,0.88,0.78,1.00,0.88,1.00,0.68,0.82,0.57,0.48,NaN
112-1,NaN,1.00,0.90,0.88,0.96,0.97,0.87,0.87,0.76,0.83,0.84,0.92,0.91,0.76,0.86,0.46,0.73,0.74,0.66,0.50
112-2,NaN,1.00,0.90,0.88,0.97,0.98,0.87,0.87,0.79,0.84,0.84,0.92,0.92,0.76,0.87,0.46,0.73,0.74,0.67,0.50
112-3,NaN,1.00,0.89,0.88,0.97,0.97,0.87,0.87,0.76,0.84,0.85,0.93,0.91,0.71,0.86,0.46,0.69,0.69,0.66,0.50
113-1,NaN,1.00,0.90,0.88,0.97,0.97,0.87,0.87,0.79,0.85,0.85,0.93,0.91,0.71,0.86,0.46,0.69,0.69,0.67,0.50
113-2,NaN,0.96,0.80,0.76,0.64,0.68,0.80,0.80,0.80,0.69,0.69,0.69,0.68,0.67,0.75,0.56,0.60,0.63,0.50,0.54
113-3,NaN,1.00,0.78,0.78,0.92,0.91,0.88,0.88,0.88,0.81,0.81,0.81,0.80,0.56,0.86,0.51,0.64,0.57,0.67,0.42
114-1,NaN,1.00,0.96,0.95,0.95,0.99,0.86,0.86,0.86,0.85,0.85,0.89,0.93,0.71,0.72,0.67,0.52,0.72,0.54,0.50
115-1,NaN,1.00,0.98,0.98,0.96,0.96,0.80,0.80,0.80,0.86,0.86,0.92,0.84,0.69,0.71,0.78,0.61,0.77,0.53,0.70
116-1,NaN,1.00,0.91,0.92,0.88,0.88,0.54,0.54,0.54,0.82,0.82,0.85,0.88,0.64,0.58,0.54,0.61,0.62,0.50,0.50
116-2,NaN,1.00,0.82,0.86,0.88,0.77,0.54,0.54,0.54,0.82,0.82,0.83,0.83,0.59,0.55,0.55,0.66,0.62,0.50,0.50
117-1,NaN,1.00,0.95,0.95,0.94,0.93,0.92,0.92,0.92,0.88,0.88,0.88,0.89,0.72,0.80,0.66,0.62,0.68,0.65,0.41
117-2,NaN,1.00,0.79,0.82,0.91,0.97,0.49,0.49,0.49,0.79,0.79,0.88,NaN,0.74,0.66,NaN,0.59,0.59,0.50,0.49
119-1,NaN,1.00,0.92,0.94,0.95,0.99,0.77,0.77,0.77,0.87,0.87,0.92,0.98,0.77,0.70,0.75,0.64,0.70,0.61,0.50
120-1,NaN,1.00,0.97,0.96,0.95,0.99,0.94,0.94,0.94,0.85,0.85,0.89,0.97,0.74,0.85,0.72,0.51,0.73,0.62,0.48
120-2,NaN,0.50,0.91,0.93,0.89,0.77,0.72,0.72,0.72,0.84,0.85,0.80,0.87,0.73,0.77,0.54,0.55,0.72,0.65,0.59
120-3,NaN,0.50,0.84,0.89,0.78,0.65,0.70,0.70,0.69,0.80,0.82,0.71,0.79,0.61,0.50,0.50,0.68,0.50,0.50,0.50
121-1,NaN,1.00,0.95,0.95,0.92,0.96,0.57,0.57,0.57,0.83,0.83,0.90,0.87,0.67,0.70,0.50,0.63,0.60,0.50,0.50
121-2,NaN,NaN,0.75,0.71,NaN,1.00,NaN,NaN,NaN,0.71,0.71,0.83,1.00,1.00,0.50,NaN,0.83,0.83,NaN,NaN
121-3,NaN,1.00,0.96,0.96,0.93,0.98,0.56,0.56,0.56,0.86,0.86,0.91,0.87,0.73,0.71,0.56,0.66,0.81,0.50,0.48
122-1,NaN,1.00,0.86,0.91,0.93,0.91,0.57,0.57,0.57,0.83,0.83,0.86,0.84,0.65,0.64,0.54,0.61,0.77,0.55,0.50
124-1,NaN,0.79,0.78,0.57,0.70,0.54,0.85,0.85,0.85,0.41,0.41,0.41,0.85,0.46,0.84,0.41,0.54,0.47,0.69,0.61
124-2,NaN,0.35,0.48,0.30,0.53,0.39,0.39,0.39,0.39,0.32,0.32,0.27,0.54,0.42,0.77,0.56,0.53,0.43,0.49,0.62
124-3,NaN,0.69,0.76,0.56,0.63,0.34,0.85,0.85,0.85,0.35,0.35,0.35,0.85,0.46,0.84,0.41,0.54,0.47,0.69,0.61
125-1,NaN,1.00,0.93,0.92,0.94,0.98,0.65,0.65,0.65,0.81,0.81,0.89,0.89,0.70,0.74,0.69,0.53,0.74,0.54,0.50
125-2,NaN,1.00,0.92,0.90,0.94,0.96,0.76,0.76,0.76,0.77,0.77,0.86,0.95,0.59,0.72,0.68,0.54,0.61,0.49,0.48
125-3,NaN,0.99,0.95,0.93,0.94,0.95,0.91,0.91,0.91,0.83,0.83,0.83,0.83,0.74,0.84,0.62,0.66,0.71,0.54,0.39
126-1,NaN,0.95,0.92,0.92,0.86,0.98,0.50,0.50,0.50,0.86,0.86,0.86,0.87,0.66,0.60,0.54,0.66,0.69,0.50,0.51
127-1,NaN,1.00,0.94,0.95,0.95,0.99,0.77,0.77,0.77,0.91,0.90,0.93,0.88,0.76,0.78,0.72,0.65,0.67,0.64,0.51
127-2,NaN,1.00,0.97,0.97,0.97,1.00,0.91,0.91,0.91,0.93,0.93,0.93,0.91,0.75,0.76,0.69,0.74,0.71,0.67,0.42
127-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
128-1,NaN,1.00,0.89,0.89,0.92,0.94,0.88,0.88,0.88,0.82,0.82,0.87,0.79,0.68,0.78,0.67,0.68,0.73,0.63,0.45
129-1,NaN,1.00,0.96,0.97,0.93,0.97,0.93,0.93,0.93,0.94,0.93,0.92,0.79,0.80,0.78,0.82,0.71,0.66,0.64,0.47
129-2,NaN,1.00,0.90,0.90,0.71,0.98,0.85,0.85,0.85,0.84,0.83,0.84,0.96,0.92,0.75,0.92,0.71,0.61,0.91,0.32
129-3,NaN,1.00,0.96,0.97,0.93,0.97,0.93,0.94,0.93,0.93,0.94,0.92,0.79,0.80,0.78,0.82,0.71,0.66,0.62,0.47
130-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
130-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
130-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
131-1,NaN,1.00,0.94,0.94,0.93,0.95,0.57,0.57,0.57,0.84,0.84,0.89,0.88,0.73,0.58,0.56,0.62,0.57,0.55,0.49
131-2,NaN,1.00,0.93,0.93,0.92,0.97,0.57,0.57,0.57,0.83,0.83,0.89,0.89,0.70,0.69,0.49,0.58,0.57,0.56,0.49
131-3,NaN,1.00,0.95,0.95,0.95,0.95,0.63,0.63,0.63,0.82,0.82,0.91,0.86,0.69,0.68,0.63,0.57,0.64,0.61,0.51
132-1,NaN,1.00,0.89,0.89,0.96,0.97,0.88,0.88,0.87,0.82,0.83,0.93,0.93,0.74,0.84,0.50,0.70,0.71,0.69,0.44
132-2,NaN,1.00,0.89,0.88,0.96,0.97,0.88,0.88,0.87,0.83,0.84,0.93,0.92,0.68,0.83,0.50,0.65,0.64,0.69,0.44
65-1,NaN,0.70,0.84,0.86,0.90,0.75,0.89,0.89,0.88,0.79,0.81,0.78,0.71,0.76,0.76,0.48,0.58,0.63,0.50,0.52
65-2,NaN,0.97,0.85,0.86,0.94,0.85,0.86,0.86,0.85,0.80,0.81,0.83,0.78,0.77,0.84,0.58,0.62,0.66,0.48,0.52
65-3,NaN,0.83,0.86,0.87,0.91,0.74,0.88,0.88,0.88,0.81,0.82,0.78,0.72,0.75,0.83,0.50,0.61,0.63,0.47,0.53
68-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
68-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
69-1,NaN,NaN,0.98,0.98,0.96,0.77,0.91,0.90,0.91,0.93,0.93,0.97,0.63,0.67,0.42,0.32,0.86,0.81,0.59,0.46
69-2,NaN,1.00,0.94,0.97,0.96,0.92,0.84,0.83,0.84,0.87,0.87,0.87,0.82,0.63,0.70,0.62,0.71,0.77,0.65,0.64
70-1,NaN,0.94,0.94,0.97,0.98,0.96,0.88,0.88,0.88,0.90,0.90,0.91,0.90,0.66,0.78,0.65,0.88,0.84,0.65,0.63
70-2,NaN,0.85,0.55,0.95,0.94,0.60,0.83,0.83,0.84,0.86,0.86,0.66,0.78,0.77,0.69,0.54,0.56,0.53,0.59,0.51
70-3,NaN,0.84,0.75,0.70,0.97,0.89,0.54,0.54,0.54,0.53,0.84,0.72,0.92,0.71,0.75,0.42,0.61,0.61,0.50,0.43
72-1,NaN,1.00,0.86,0.86,0.94,0.96,0.57,0.57,0.57,0.77,0.77,0.87,0.79,0.64,0.56,0.53,0.62,0.67,0.59,0.49
72-2,NaN,0.50,0.86,0.87,0.70,0.57,0.50,0.50,0.50,0.85,0.85,0.59,0.71,0.63,0.56,0.53,0.58,0.57,0.55,0.47
73-1,NaN,0.99,0.92,0.87,0.88,0.76,0.85,0.85,0.85,0.77,0.77,0.77,0.74,0.61,0.76,0.51,0.60,0.71,0.65,0.49
73-2,NaN,0.99,0.92,0.88,0.89,0.77,0.86,0.86,0.86,0.77,0.77,0.78,0.74,0.61,0.77,0.54,0.60,0.71,0.66,0.49
73-3,NaN,0.99,0.83,0.80,0.70,0.70,0.82,0.82,0.82,0.64,0.64,0.57,0.68,0.54,0.78,0.53,0.56,0.64,0.68,0.48
74-1,NaN,NaN,0.99,0.98,0.98,1.00,0.72,0.72,0.72,0.86,0.86,0.95,0.91,0.71,0.65,0.69,0.50,0.66,0.49,0.51
74-2,NaN,0.99,0.96,0.98,0.95,0.95,0.50,0.50,0.50,0.86,0.86,0.90,0.81,0.64,0.64,0.53,0.51,0.72,0.54,0.53
75-1,NaN,NaN,0.98,0.98,0.97,0.80,0.89,0.88,0.89,0.93,0.93,0.97,0.64,0.67,0.42,0.32,0.85,0.81,0.59,0.46
75-2,NaN,1.00,0.98,0.98,0.96,0.95,0.83,0.83,0.84,0.88,0.88,0.90,0.83,0.70,0.71,0.62,0.70,0.77,0.65,0.64
79-1,NaN,1.00,0.76,0.89,0.94,0.96,0.70,0.70,0.67,0.84,0.84,0.86,0.89,0.67,0.64,0.50,0.75,0.71,0.64,0.58
79-2,NaN,1.00,0.73,0.90,0.94,0.93,0.69,0.69,0.69,0.86,0.86,0.85,0.87,0.68,0.67,0.45,0.75,0.71,0.62,0.57
79-3,NaN,1.00,0.90,0.97,0.95,0.95,0.71,0.71,0.67,0.88,0.88,0.88,0.89,0.77,0.66,0.49,0.74,0.71,0.64,0.53
80-1,NaN,NaN,0.98,0.96,0.97,0.93,0.72,0.72,0.72,0.85,0.85,0.92,0.80,0.78,0.65,0.69,0.53,0.67,0.50,0.52
80-2,NaN,0.99,0.96,0.98,0.95,0.97,0.57,0.57,0.57,0.86,0.86,0.91,0.88,0.68,0.64,0.53,0.50,0.73,0.54,0.53
81-1,NaN,1.00,0.88,0.89,0.97,0.87,0.50,0.50,0.50,0.76,0.76,0.87,0.88,0.50,0.74,0.62,0.62,0.68,0.50,0.49
81-2,NaN,1.00,0.88,0.89,0.97,0.87,0.50,0.50,0.50,0.76,0.76,0.87,0.88,0.50,0.74,0.62,0.62,0.68,0.50,0.49
82-1,NaN,1.00,0.91,0.89,0.88,0.90,0.84,0.84,0.84,0.86,0.86,0.82,0.72,0.72,0.80,0.71,0.63,0.68,0.66,0.45
83-1,NaN,1.00,0.98,0.97,0.93,0.97,0.92,0.92,0.92,0.74,0.72,0.86,0.96,0.72,0.84,0.66,0.48,0.49,0.57,0.51
83-2,NaN,1.00,0.98,0.97,0.94,0.98,0.92,0.92,0.92,0.74,0.72,0.88,0.97,0.72,0.84,0.66,0.48,0.50,0.57,0.52
84-1,NaN,0.96,0.69,0.60,0.78,0.64,0.88,0.88,0.85,0.56,0.56,0.71,0.74,0.68,0.48,0.50,0.44,0.57,0.41,0.46
85-1,NaN,1.00,0.95,0.95,0.95,0.98,0.85,0.85,0.85,0.89,0.89,0.89,0.86,0.76,0.82,0.84,0.73,0.71,0.57,0.39
85-2,NaN,1.00,0.95,0.97,0.95,0.94,0.85,0.85,0.85,0.92,0.91,0.90,0.84,0.67,0.78,0.76,0.69,0.69,0.55,0.50
86-1,NaN,1.00,0.85,0.85,0.82,0.89,0.58,0.58,0.58,0.79,0.79,0.78,0.81,0.65,0.66,0.54,0.73,0.72,0.54,0.51
86-2,NaN,1.00,0.85,0.85,0.82,0.89,0.58,0.58,0.58,0.79,0.79,0.78,0.81,0.65,0.66,0.54,0.73,0.72,0.54,0.51
86-3,NaN,1.00,0.79,0.79,0.79,0.91,0.50,0.50,0.50,0.74,0.74,0.80,0.83,0.61,0.62,0.54,0.72,0.75,0.56,0.52
87-1,NaN,1.00,0.89,0.96,0.94,0.99,0.58,0.58,0.58,0.87,0.87,0.90,0.89,0.73,0.68,0.66,0.63,0.68,0.57,0.46
87-2,NaN,1.00,0.83,0.93,0.95,0.99,0.58,0.58,0.58,0.85,0.85,0.91,0.89,0.70,0.65,0.66,0.53,0.67,0.57,0.46
87-3,NaN,1.00,0.90,0.96,0.90,0.99,0.58,0.58,0.58,0.86,0.86,0.89,0.88,0.68,0.65,0.65,0.66,0.75,0.60,0.48
88-1,NaN,1.00,0.69,0.77,0.84,0.90,0.56,0.56,0.56,0.72,0.72,0.80,0.79,0.64,0.67,0.58,0.70,0.67,0.50,0.51
89-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
91-1,NaN,0.50,0.59,0.55,0.65,0.55,0.44,0.44,0.44,0.53,0.53,0.52,0.44,0.59,0.50,0.46,0.50,0.38,NaN,0.41
91-2,NaN,0.50,0.60,0.61,0.62,0.55,0.44,0.44,0.44,0.56,0.56,0.53,0.44,0.59,0.50,0.46,0.55,0.42,NaN,0.41
91-3,NaN,0.46,0.85,0.85,0.33,0.54,0.50,0.50,0.50,0.82,0.82,0.36,0.69,0.66,0.50,0.50,0.37,0.66,NaN,0.46
93-1,NaN,NaN,NaN,NaN,NaN,0.83,NaN,NaN,NaN,NaN,NaN,1.00,0.33,0.50,NaN,0.50,0.50,0.50,NaN,NaN
93-2,NaN,NaN,NaN,NaN,NaN,0.83,NaN,NaN,NaN,NaN,NaN,1.00,0.58,0.50,NaN,0.50,0.50,1.00,NaN,NaN
94-1,NaN,1.00,0.94,0.94,0.93,0.95,0.61,0.61,0.61,0.83,0.83,0.84,0.87,0.65,0.68,0.67,0.66,0.75,0.53,0.51
95-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
95-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
96-1,NaN,0.50,0.39,0.39,0.41,0.57,0.37,0.37,0.37,0.39,0.39,0.51,0.32,0.50,0.50,0.57,0.40,0.49,0.50,0.50
96-2,NaN,0.50,0.48,0.48,0.47,0.52,0.51,0.51,0.51,0.41,0.41,0.53,0.52,0.50,0.50,0.50,0.48,0.54,0.50,0.50
96-3,NaN,0.50,0.41,0.41,0.64,0.59,0.39,0.39,0.39,0.38,0.38,0.48,0.76,0.50,0.50,0.49,0.50,0.58,0.50,0.50
97-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
97-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
97-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
98-1,NaN,0.63,0.52,0.48,0.47,0.54,0.51,0.51,0.51,0.48,0.48,0.52,0.68,0.50,0.50,0.50,0.45,0.45,0.62,0.51
99-1,NaN,1.00,0.96,0.98,0.95,0.98,0.67,0.67,0.67,0.92,0.92,0.90,0.94,0.75,0.68,0.70,0.70,0.68,0.54,0.58
