ID-model,GO:0008150,GO:0044723,GO:0006139,GO:0005975,GO:0044281,GO:0009059,GO:0006725,GO:0046483,GO:0042221,GO:1901360,GO:0044710,GO:0051716,GO:1901576,GO:0009058,GO:0005976,GO:0034641,GO:0044249,GO:0018130,GO:0019438,GO:0006807,GO:1901362,GO:0044238,GO:0008152,GO:0071704,GO:0044763,GO:0050896,GO:0044699,GO:0044237,GO:0050789,GO:0044271,GO:0043170,GO:1901564,GO:0044260,GO:0065007,GO:1901566,GO:0006810,GO:0051234,GO:0051704,GO:0044765,GO:0009987,GO:0019538,GO:0006950,GO:0051179
BLAST-S11,NaN,0.70,0.82,0.69,0.79,0.73,0.82,0.80,0.69,0.80,0.71,0.66,0.61,0.61,0.64,0.73,0.60,0.58,0.58,0.66,0.58,0.61,0.60,0.57,0.57,0.60,0.56,0.58,0.51,0.57,0.62,0.57,0.62,0.50,0.49,0.56,0.56,0.52,0.57,0.56,0.55,0.58,0.50
BLAST-S14,NaN,0.96,0.87,0.86,0.85,0.83,0.82,0.80,0.80,0.79,0.78,0.76,0.75,0.74,0.73,0.69,0.68,0.67,0.67,0.66,0.66,0.65,0.65,0.63,0.63,0.63,0.63,0.62,0.62,0.60,0.60,0.59,0.59,0.58,0.58,0.57,0.57,0.56,0.56,0.55,0.54,0.54,0.52
Naive-S11,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
Naive-S14,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
101-1,NaN,0.78,0.53,0.85,0.78,0.89,0.57,0.55,0.75,0.57,0.79,0.56,0.70,0.79,0.85,0.49,0.80,0.66,0.66,0.54,0.66,0.64,0.66,0.60,0.67,0.56,0.75,0.67,0.63,0.59,0.59,0.66,0.55,0.64,0.67,0.90,0.90,0.66,0.92,0.61,0.63,0.50,0.84
101-2,NaN,0.78,0.58,0.87,0.81,0.83,0.59,0.58,0.75,0.59,0.82,0.60,0.71,0.81,0.80,0.52,0.79,0.67,0.67,0.58,0.67,0.69,0.73,0.63,0.65,0.56,0.73,0.71,0.67,0.60,0.65,0.69,0.58,0.66,0.69,0.93,0.93,0.62,0.90,0.63,0.64,0.55,0.85
101-3,NaN,0.78,0.54,0.84,0.78,0.90,0.58,0.55,0.80,0.58,0.81,0.58,0.72,0.83,0.85,0.49,0.83,0.66,0.66,0.57,0.66,0.67,0.73,0.59,0.68,0.54,0.82,0.69,0.70,0.57,0.60,0.68,0.55,0.70,0.68,0.96,0.96,0.65,0.98,0.60,0.64,0.48,0.88
102-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
102-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
102-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
103-1,NaN,0.75,0.47,0.70,0.64,0.72,0.49,0.46,0.59,0.49,0.68,0.69,0.59,0.63,0.79,0.43,0.54,0.49,0.48,0.49,0.47,0.60,0.56,0.54,0.54,0.55,0.72,0.53,0.77,0.44,0.55,0.57,0.46,0.77,0.56,0.95,0.95,0.52,0.93,0.54,0.66,0.48,0.91
103-2,NaN,0.84,0.46,0.75,0.66,0.78,0.49,0.46,0.59,0.49,0.73,0.69,0.61,0.77,0.89,0.42,0.71,0.49,0.48,0.49,0.47,0.59,0.64,0.53,0.61,0.54,0.77,0.60,0.77,0.43,0.55,0.58,0.46,0.76,0.56,0.94,0.94,0.54,0.90,0.60,0.67,0.48,0.91
103-3,NaN,0.71,0.58,0.70,0.64,0.75,0.60,0.58,0.62,0.60,0.69,0.61,0.65,0.76,0.70,0.53,0.72,0.57,0.57,0.58,0.57,0.63,0.62,0.56,0.62,0.64,0.78,0.57,0.75,0.52,0.62,0.67,0.58,0.75,0.62,0.97,0.97,0.53,0.98,0.53,0.66,0.60,0.90
104-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
104-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
104-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
105-1,NaN,0.95,0.74,0.87,0.84,0.90,0.66,0.64,0.66,0.65,0.77,0.66,0.70,0.80,0.97,0.59,0.78,0.61,0.61,0.61,0.61,0.69,0.63,0.61,0.59,0.59,0.68,0.68,0.73,0.54,0.71,0.65,0.67,0.73,0.60,0.96,0.96,0.54,0.97,0.61,0.77,0.52,0.88
105-2,NaN,0.88,0.72,0.82,0.76,0.91,0.68,0.67,0.65,0.68,0.74,0.66,0.71,0.80,0.95,0.62,0.77,0.67,0.68,0.62,0.67,0.73,0.70,0.65,0.56,0.59,0.66,0.72,0.77,0.63,0.77,0.66,0.71,0.77,0.68,0.97,0.97,0.57,0.97,0.62,0.75,0.57,0.87
105-3,NaN,0.85,0.70,0.80,0.75,0.86,0.62,0.60,0.67,0.61,0.74,0.63,0.67,0.79,0.96,0.55,0.78,0.59,0.60,0.56,0.58,0.73,0.68,0.66,0.58,0.62,0.68,0.70,0.73,0.56,0.78,0.63,0.73,0.73,0.63,0.96,0.96,0.55,0.96,0.59,0.82,0.63,0.90
