ID-model,GO:0008150,GO:0009735,GO:0050896,GO:0042221,GO:0010033,GO:0009719,GO:0009725
BLAST-S11,NaN,0.50,0.48,0.47,0.43,0.47,0.50
BLAST-S14,NaN,0.50,0.49,0.43,0.41,0.38,0.38
Naive-S11,NaN,0.50,0.50,0.50,0.50,0.50,0.50
Naive-S14,NaN,0.50,0.50,0.50,0.50,0.50,0.50
101-1,NaN,0.50,0.45,0.39,0.39,0.47,0.47
101-2,NaN,0.50,0.44,0.45,0.43,0.47,0.47
101-3,NaN,0.50,0.52,0.44,0.41,0.47,0.47
102-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50
102-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50
102-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50
103-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50
103-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50
103-3,NaN,0.50,0.61,0.52,0.50,0.50,0.50
104-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50
104-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50
104-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50
105-1,NaN,0.37,0.43,0.34,0.28,0.31,0.29
105-2,NaN,0.50,0.41,0.34,0.23,0.29,0.28
105-3,NaN,0.53,0.44,0.37,0.27,0.30,0.30
106-1,NaN,0.50,0.47,0.50,0.50,0.50,0.50
106-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50
106-3,NaN,0.50,0.45,0.50,0.50,0.50,0.50
107-1,NaN,0.50,0.41,0.29,0.17,0.27,0.29
107-2,NaN,0.50,0.41,0.36,0.23,0.28,0.35
107-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50
108-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50
109-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50
110-1,NaN,0.53,0.35,0.30,0.31,0.27,0.26
110-2,NaN,0.50,0.35,0.50,0.51,0.54,0.48
110-3,NaN,0.51,0.43,0.51,0.51,0.55,0.56
111-1,NaN,0.53,0.33,0.30,0.30,0.27,0.26
111-2,NaN,0.51,0.43,0.51,0.50,0.55,0.55
111-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50
112-1,NaN,0.58,0.32,0.40,0.33,0.32,0.29
112-2,NaN,0.58,0.30,0.40,0.34,0.33,0.31
112-3,NaN,0.58,0.31,0.41,0.34,0.35,0.29
113-1,NaN,0.58,0.29,0.40,0.35,0.36,0.31
113-2,NaN,0.51,0.46,0.53,0.53,0.57,0.56
113-3,NaN,0.53,0.33,0.27,0.26,0.27,0.26
114-1,NaN,0.51,0.54,0.42,0.36,0.25,0.29
115-1,NaN,0.50,0.47,0.48,0.43,0.45,0.43
116-1,NaN,0.50,0.54,0.50,0.50,0.50,0.50
116-2,NaN,0.50,0.45,0.50,0.50,0.50,0.50
117-1,NaN,0.46,0.45,0.37,0.23,0.29,0.28
117-2,NaN,0.50,0.57,0.52,0.52,0.50,0.50
119-1,NaN,0.50,0.61,0.52,0.42,0.39,0.42
120-1,NaN,0.38,0.49,0.46,0.31,0.13,0.14
120-2,NaN,0.50,0.44,0.35,0.36,0.50,0.50
120-3,NaN,0.50,0.49,0.50,0.50,0.50,0.50
121-1,NaN,0.50,0.55,0.54,0.50,0.50,0.50
121-2,NaN,0.50,0.51,0.49,0.50,0.50,0.50
121-3,NaN,0.50,0.57,0.56,0.52,0.50,0.50
122-1,NaN,0.50,0.41,0.44,0.44,0.40,0.43
124-1,NaN,0.54,0.32,0.58,0.46,0.54,0.58
124-2,NaN,0.50,0.46,0.45,0.50,0.50,0.50
124-3,NaN,0.54,0.32,0.58,0.46,0.54,0.58
125-1,NaN,0.51,0.54,0.41,0.36,0.26,0.32
125-2,NaN,0.50,0.43,0.38,0.38,0.31,0.33
125-3,NaN,0.54,0.50,0.46,0.39,0.33,0.38
126-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50
127-1,NaN,0.50,0.43,0.57,0.54,0.55,0.53
127-2,NaN,0.50,0.36,0.38,0.31,0.33,0.37
127-3,NaN,0.53,0.47,0.49,0.49,0.49,0.49
128-1,NaN,0.50,0.32,0.34,0.31,0.29,0.27
129-1,NaN,0.50,0.42,0.39,0.33,0.26,0.25
129-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50
129-3,NaN,0.50,0.42,0.39,0.33,0.26,0.25
130-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50
130-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50
130-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50
131-1,NaN,0.50,0.61,0.49,0.51,0.47,0.50
131-2,NaN,0.50,0.59,0.53,0.47,0.50,0.50
131-3,NaN,0.50,0.56,0.44,0.41,0.36,0.39
132-1,NaN,0.58,0.38,0.37,0.29,0.22,0.24
132-2,NaN,0.58,0.38,0.38,0.30,0.26,0.24
65-1,NaN,0.26,0.18,0.25,0.18,0.19,0.26
65-2,NaN,0.38,0.18,0.24,0.18,0.20,0.26
65-3,NaN,0.29,0.18,0.23,0.19,0.18,0.26
68-1,NaN,0.50,0.59,0.51,0.36,0.33,0.33
68-2,NaN,0.51,0.56,0.61,0.47,0.26,0.30
69-1,NaN,0.50,0.43,0.43,0.27,0.30,0.31
69-2,NaN,0.50,0.44,0.41,0.30,0.33,0.35
70-1,NaN,0.50,0.47,0.35,0.30,0.37,0.42
70-2,NaN,0.50,0.44,0.38,0.35,0.44,0.35
70-3,NaN,0.50,0.56,0.59,0.59,0.50,0.50
72-1,NaN,0.50,0.53,0.43,0.50,0.50,0.50
72-2,NaN,0.50,0.50,0.36,0.47,0.50,0.50
73-1,NaN,0.56,0.37,0.36,0.28,0.25,0.26
73-2,NaN,0.56,0.37,0.36,0.28,0.25,0.26
73-3,NaN,0.54,0.39,0.29,0.28,0.38,0.35
74-1,NaN,0.50,0.44,0.45,0.49,0.52,0.50
74-2,NaN,0.50,0.41,0.47,0.43,0.47,0.47
75-1,NaN,0.50,0.47,0.43,0.27,0.30,0.31
75-2,NaN,0.50,0.49,0.42,0.30,0.33,0.35
79-1,NaN,0.50,0.43,0.34,0.33,0.29,0.33
79-2,NaN,0.50,0.49,0.38,0.37,0.35,0.35
79-3,NaN,0.52,0.44,0.39,0.31,0.28,0.30
80-1,NaN,0.50,0.47,0.45,0.49,0.52,0.50
80-2,NaN,0.50,0.48,0.47,0.43,0.47,0.47
81-1,NaN,0.50,0.50,0.47,0.47,0.47,0.47
81-2,NaN,0.50,0.50,0.47,0.47,0.47,0.47
82-1,NaN,0.50,0.50,0.45,0.47,0.49,0.52
83-1,NaN,0.50,0.40,0.46,0.42,0.34,0.35
83-2,NaN,0.50,0.38,0.49,0.44,0.33,0.35
84-1,NaN,0.50,0.52,0.54,0.64,0.47,0.50
85-1,NaN,0.50,0.44,0.38,0.34,0.29,0.29
85-2,NaN,0.50,0.44,0.38,0.34,0.29,0.29
86-1,NaN,0.50,0.44,0.54,0.48,0.50,0.50
86-2,NaN,0.50,0.44,0.54,0.48,0.50,0.50
86-3,NaN,0.50,0.55,0.50,0.52,0.50,0.50
87-1,NaN,0.50,0.49,0.47,0.33,0.27,0.30
87-2,NaN,0.50,0.52,0.49,0.33,0.27,0.30
87-3,NaN,0.50,0.53,0.43,0.32,0.33,0.33
88-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50
89-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50
89-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50
89-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50
91-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50
91-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50
91-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50
93-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50
93-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50
94-1,NaN,0.50,0.57,0.50,0.44,0.43,0.47
95-1,NaN,0.50,0.59,0.56,0.38,0.27,0.27
95-2,NaN,0.51,0.55,0.63,0.47,0.18,0.18
96-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50
96-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50
96-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50
97-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50
97-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50
97-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50
98-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50
99-1,NaN,0.50,0.44,0.26,0.23,0.29,0.28
