ID-model,GO:0005575,GO:0044463,GO:0015630,GO:0042995,GO:0044430,GO:0005856,GO:0044459,GO:0043228,GO:0043232,GO:0005783,GO:0005730,GO:0031981,GO:0043234,GO:0070013,GO:0043233,GO:0031974,GO:0005576,GO:0032991,GO:0044421,GO:0044428,GO:0005634,GO:0005829,GO:0005739,GO:0005615,GO:0044425,GO:0005886,GO:0044444,GO:0043230,GO:0065010,GO:0016021,GO:0070062,GO:0005737,GO:0031982,GO:0071944,GO:0044432,GO:0016020,GO:0044446,GO:0031988,GO:0031224,GO:0043226,GO:0044422,GO:0043227,GO:0031090,GO:0043229,GO:0044424,GO:0005622,GO:0012505,GO:0043231,GO:0005794,GO:0005623,GO:0044464,GO:0031975
BLAST-S11,NaN,0.78,0.69,0.74,0.64,0.67,0.69,0.63,0.63,0.61,0.60,0.64,0.61,0.61,0.61,0.60,0.60,0.59,0.59,0.58,0.57,0.57,0.60,0.62,0.55,0.57,0.58,0.50,0.50,0.60,0.50,0.57,0.53,0.54,0.50,0.56,0.52,0.53,0.58,0.55,0.52,0.54,0.50,0.53,0.54,0.54,0.48,0.52,0.50,0.45,0.45,0.49
BLAST-S14,NaN,0.76,0.72,0.72,0.67,0.67,0.66,0.64,0.64,0.63,0.63,0.63,0.62,0.62,0.62,0.61,0.61,0.61,0.61,0.59,0.59,0.59,0.59,0.58,0.57,0.57,0.57,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.54,0.54,0.54,0.54,0.54,0.52,0.52,0.52,0.52,0.52,0.51,0.51,0.50,0.46,0.46,0.46
Naive-S11,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
Naive-S14,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
101-1,NaN,0.58,0.66,0.68,0.60,0.61,0.65,0.60,0.60,0.73,0.69,0.70,0.59,0.67,0.66,0.66,0.62,0.56,0.55,0.66,0.60,0.58,0.59,0.56,0.65,0.61,0.63,0.50,0.50,0.66,0.50,0.60,0.51,0.58,0.61,0.62,0.61,0.51,0.64,0.52,0.60,0.52,0.66,0.57,0.57,0.56,0.57,0.56,0.76,0.49,0.49,0.51
101-2,NaN,0.50,0.54,0.53,0.53,0.54,0.52,0.55,0.55,0.51,0.50,0.53,0.51,0.53,0.53,0.53,0.51,0.50,0.51,0.52,0.52,0.51,0.50,0.50,0.52,0.52,0.51,0.50,0.50,0.51,0.50,0.50,0.50,0.51,0.50,0.52,0.53,0.50,0.50,0.50,0.53,0.50,0.53,0.50,0.51,0.50,0.51,0.50,0.54,0.48,0.48,0.50
101-3,NaN,0.57,0.65,0.69,0.60,0.61,0.64,0.63,0.63,0.73,0.70,0.71,0.60,0.68,0.67,0.67,0.63,0.59,0.55,0.67,0.65,0.59,0.60,0.56,0.64,0.62,0.68,0.50,0.50,0.73,0.50,0.65,0.52,0.60,0.61,0.65,0.63,0.51,0.68,0.56,0.63,0.56,0.68,0.63,0.65,0.65,0.57,0.63,0.77,0.57,0.57,0.51
102-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
102-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
102-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
