ID-model,GO:0005575,GO:0044456,GO:0045202,GO:0044425,GO:0005783,GO:0031981,GO:0005654,GO:0030054,GO:0070013,GO:0005615,GO:0043233,GO:0044428,GO:0031974,GO:0043005,GO:0071944,GO:0044427,GO:0005886,GO:0043234,GO:0005694,GO:0005634,GO:0097458,GO:0070161,GO:0042995,GO:0005856,GO:0005730,GO:0044430,GO:0005739,GO:0044463,GO:0032991,GO:0005912,GO:0044421,GO:0005576,GO:0016020,GO:0043228,GO:0043232,GO:0030424,GO:0005829,GO:0044446,GO:0044422,GO:0005924,GO:0005794,GO:0030055,GO:0012505,GO:0043231,GO:0043230,GO:0065010,GO:0070062,GO:0005925,GO:0031988,GO:0043229,GO:0031982,GO:0044444,GO:0044424,GO:0043226,GO:0005622,GO:0043227,GO:0005623,GO:0044464,GO:0005737
BLAST-S11,NaN,0.73,0.78,0.75,0.70,0.75,0.74,0.73,0.73,0.74,0.72,0.74,0.74,0.72,0.73,0.79,0.74,0.68,0.72,0.71,0.69,0.73,0.70,0.70,0.69,0.66,0.68,0.66,0.66,0.70,0.66,0.68,0.60,0.62,0.62,0.66,0.64,0.59,0.59,0.63,0.61,0.62,0.58,0.59,0.50,0.50,0.50,0.59,0.56,0.58,0.56,0.53,0.54,0.53,0.53,0.54,0.53,0.51,0.52
BLAST-S14,NaN,0.86,0.82,0.80,0.80,0.79,0.77,0.77,0.76,0.76,0.75,0.75,0.75,0.74,0.74,0.74,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.72,0.72,0.72,0.72,0.72,0.71,0.70,0.68,0.68,0.66,0.64,0.64,0.64,0.63,0.63,0.63,0.63,0.63,0.62,0.61,0.61,0.60,0.60,0.59,0.59,0.59,0.59,0.59,0.55,0.55,0.55,0.55,0.55,0.54,0.53,0.52
Naive-S11,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
Naive-S14,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
101-1,NaN,0.73,0.74,0.73,0.70,0.69,0.55,0.66,0.68,0.74,0.67,0.70,0.68,0.49,0.72,0.61,0.73,0.63,0.68,0.68,0.48,0.64,0.58,0.70,0.66,0.63,0.73,0.54,0.60,0.64,0.59,0.67,0.60,0.63,0.63,0.52,0.61,0.57,0.57,0.61,0.64,0.61,0.72,0.58,0.50,0.50,0.50,0.58,0.55,0.57,0.55,0.56,0.51,0.54,0.51,0.55,0.52,0.51,0.52
101-2,NaN,0.60,0.58,0.59,0.53,0.51,0.54,0.52,0.51,0.53,0.51,0.51,0.51,0.50,0.54,0.50,0.54,0.51,0.54,0.55,0.50,0.53,0.49,0.54,0.50,0.49,0.56,0.50,0.51,0.53,0.51,0.53,0.51,0.52,0.52,0.50,0.50,0.49,0.49,0.53,0.52,0.53,0.51,0.55,0.50,0.50,0.50,0.53,0.50,0.55,0.51,0.52,0.53,0.53,0.53,0.53,0.52,0.52,0.51
101-3,NaN,0.72,0.73,0.79,0.71,0.69,0.54,0.70,0.68,0.74,0.68,0.71,0.69,0.50,0.74,0.61,0.74,0.66,0.68,0.80,0.48,0.64,0.58,0.72,0.67,0.66,0.75,0.52,0.63,0.65,0.59,0.68,0.66,0.66,0.66,0.52,0.61,0.60,0.60,0.61,0.65,0.61,0.74,0.73,0.50,0.50,0.50,0.58,0.56,0.71,0.56,0.59,0.64,0.64,0.66,0.63,0.61,0.61,0.58
102-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
102-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
102-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
103-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
103-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
103-3,NaN,0.59,0.61,0.72,0.69,0.60,0.49,0.58,0.60,0.56,0.60,0.59,0.60,0.56,0.55,0.65,0.55,0.55,0.67,0.69,0.60,0.55,0.54,0.60,0.62,0.58,0.68,0.57,0.53,0.55,0.54,0.60,0.57,0.60,0.60,0.50,0.54,0.58,0.58,0.56,0.60,0.56,0.70,0.66,0.50,0.50,0.50,0.53,0.51,0.63,0.50,0.58,0.59,0.62,0.59,0.61,0.55,0.55,0.56
104-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
104-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
104-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
105-1,NaN,0.89,0.85,0.74,0.77,0.76,0.81,0.78,0.74,0.76,0.73,0.72,0.73,0.69,0.73,0.73,0.73,0.57,0.70,0.66,0.69,0.76,0.72,0.74,0.71,0.75,0.77,0.74,0.53,0.76,0.65,0.67,0.68,0.68,0.68,0.56,0.61,0.61,0.62,0.75,0.77,0.75,0.76,0.62,0.59,0.59,0.59,0.75,0.57,0.62,0.57,0.55,0.59,0.50,0.59,0.49,0.56,0.56,0.55
105-2,NaN,0.89,0.87,0.76,0.80,0.76,0.84,0.77,0.75,0.76,0.75,0.75,0.74,0.72,0.77,0.77,0.77,0.64,0.72,0.74,0.73,0.68,0.74,0.79,0.69,0.74,0.81,0.70,0.62,0.68,0.64,0.66,0.65,0.72,0.72,0.53,0.60,0.63,0.63,0.66,0.81,0.65,0.81,0.68,0.56,0.56,0.56,0.66,0.59,0.66,0.58,0.61,0.59,0.54,0.59,0.53,0.58,0.58,0.57
105-3,NaN,0.83,0.78,0.76,0.78,0.77,0.85,0.75,0.75,0.76,0.74,0.75,0.74,0.70,0.73,0.71,0.73,0.64,0.69,0.68,0.70,0.69,0.70,0.78,0.65,0.74,0.80,0.72,0.61,0.69,0.69,0.70,0.64,0.69,0.69,0.50,0.61,0.59,0.59,0.62,0.76,0.61,0.76,0.62,0.59,0.59,0.59,0.62,0.58,0.60,0.58,0.60,0.56,0.50,0.56,0.51,0.54,0.54,0.54
106-1,NaN,0.54,0.53,0.64,0.60,0.52,0.55,0.52,0.52,0.50,0.52,0.53,0.52,0.50,0.61,0.60,0.60,0.59,0.59,0.61,0.50,0.50,0.49,0.62,0.52,0.63,0.57,0.50,0.58,0.50,0.52,0.55,0.55,0.57,0.57,0.50,0.58,0.55,0.54,0.50,0.49,0.50,0.56,0.58,0.50,0.50,0.50,0.50,0.51,0.57,0.51,0.56,0.57,0.55,0.56,0.54,0.54,0.55,0.55
106-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
106-3,NaN,0.54,0.53,0.64,0.56,0.51,0.55,0.52,0.51,0.50,0.51,0.51,0.51,0.50,0.61,0.50,0.60,0.58,0.50,0.58,0.50,0.50,0.49,0.60,0.50,0.60,0.52,0.50,0.57,0.50,0.52,0.54,0.54,0.53,0.53,0.50,0.58,0.51,0.51,0.50,0.49,0.50,0.57,0.56,0.50,0.50,0.50,0.50,0.51,0.56,0.51,0.54,0.55,0.55,0.55,0.53,0.53,0.54,0.53
107-1,NaN,0.84,0.87,0.75,0.77,0.77,0.87,0.75,0.75,0.72,0.74,0.75,0.74,0.67,0.73,0.81,0.74,0.56,0.74,0.67,0.66,0.68,0.64,0.71,0.67,0.70,0.70,0.62,0.52,0.68,0.64,0.66,0.66,0.63,0.63,0.50,0.61,0.57,0.57,0.66,0.82,0.66,0.74,0.58,0.55,0.55,0.55,0.66,0.60,0.55,0.60,0.55,0.54,0.49,0.53,0.51,0.54,0.55,0.54
107-2,NaN,0.67,0.74,0.74,0.82,0.74,0.80,0.81,0.71,0.74,0.70,0.72,0.70,0.65,0.74,0.73,0.74,0.70,0.73,0.78,0.63,0.67,0.64,0.73,0.65,0.72,0.79,0.58,0.68,0.67,0.64,0.65,0.62,0.71,0.71,0.49,0.61,0.60,0.59,0.66,0.71,0.66,0.78,0.73,0.55,0.55,0.55,0.66,0.58,0.72,0.58,0.61,0.65,0.60,0.64,0.57,0.60,0.61,0.59
107-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
108-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
109-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
110-1,NaN,0.82,0.81,0.72,0.68,0.56,0.60,0.52,0.55,0.54,0.54,0.55,0.54,0.74,0.71,0.65,0.70,0.67,0.63,0.52,0.73,0.50,0.71,0.59,0.57,0.62,0.66,0.74,0.66,0.50,0.43,0.42,0.54,0.56,0.56,0.62,0.54,0.56,0.56,0.48,0.58,0.48,0.79,0.56,0.48,0.48,0.48,0.49,0.38,0.56,0.38,0.61,0.57,0.41,0.58,0.41,0.68,0.64,0.55
110-2,NaN,0.68,0.71,0.78,0.69,0.78,0.79,0.80,0.78,0.64,0.77,0.81,0.81,0.53,0.72,0.77,0.73,0.68,0.74,0.78,0.57,0.73,0.63,0.73,0.62,0.70,0.66,0.57,0.67,0.72,0.63,0.68,0.62,0.71,0.71,0.50,0.55,0.60,0.60,0.65,0.65,0.69,0.62,0.66,0.51,0.51,0.50,0.50,0.58,0.65,0.57,0.64,0.63,0.58,0.63,0.56,0.61,0.61,0.58
110-3,NaN,0.58,0.59,0.54,0.71,0.67,0.78,0.78,0.65,0.70,0.65,0.66,0.64,0.57,0.55,0.78,0.53,0.57,0.78,0.64,0.54,0.86,0.57,0.74,0.64,0.76,0.74,0.51,0.56,0.87,0.64,0.64,0.53,0.63,0.63,0.47,0.59,0.59,0.57,0.89,0.68,0.88,0.39,0.59,0.56,0.56,0.54,0.83,0.67,0.59,0.66,0.62,0.61,0.58,0.60,0.57,0.53,0.55,0.62
