ID-model,GO:0003674,GO:0005488,GO:0005515
BLAST-S11,NaN,0.86,0.84
BLAST-S14,NaN,0.70,0.69
Naive-S11,NaN,0.50,0.50
Naive-S14,NaN,0.50,0.50
101-1,NaN,0.62,0.64
101-2,NaN,0.89,0.88
101-3,NaN,0.58,0.84
102-1,NaN,0.89,0.87
102-2,NaN,0.92,0.91
102-3,NaN,NaN,NaN
103-1,NaN,NaN,NaN
103-2,NaN,NaN,NaN
103-3,NaN,NaN,1.00
104-1,NaN,NaN,NaN
104-2,NaN,NaN,NaN
104-3,NaN,NaN,NaN
105-1,NaN,0.68,0.72
105-2,NaN,0.58,0.74
105-3,NaN,0.61,0.59
106-1,NaN,0.69,0.62
106-2,NaN,0.63,0.50
106-3,NaN,0.00,0.75
107-1,NaN,0.59,0.74
107-2,NaN,0.59,0.63
107-3,NaN,NaN,NaN
108-1,NaN,NaN,NaN
109-1,NaN,NaN,NaN
110-1,NaN,0.70,0.62
110-2,NaN,0.71,0.84
110-3,NaN,0.68,0.60
111-1,NaN,0.67,0.61
111-2,NaN,0.85,0.66
111-3,NaN,NaN,0.75
112-1,NaN,0.78,0.99
112-2,NaN,0.79,0.99
112-3,NaN,0.75,0.99
113-1,NaN,0.76,0.99
113-2,NaN,1.00,0.75
113-3,NaN,0.61,0.61
114-1,NaN,0.64,0.67
115-1,NaN,0.64,0.99
116-1,NaN,0.46,0.61
116-2,NaN,0.61,0.64
117-1,NaN,0.61,0.76
117-2,NaN,0.67,0.80
119-1,NaN,0.72,0.60
120-1,NaN,0.65,0.72
120-2,NaN,0.64,0.74
120-3,NaN,0.71,0.50
121-1,NaN,NaN,1.00
121-2,NaN,NaN,NaN
121-3,NaN,NaN,1.00
122-1,NaN,0.58,0.94
124-1,NaN,0.42,0.71
124-2,NaN,0.52,0.40
124-3,NaN,0.42,0.71
125-1,NaN,0.62,0.67
125-2,NaN,0.67,0.49
125-3,NaN,0.71,0.60
126-1,NaN,0.73,0.70
127-1,NaN,0.71,0.69
127-2,NaN,0.61,0.67
127-3,NaN,NaN,NaN
128-1,NaN,0.80,0.84
129-1,NaN,0.69,0.70
129-2,NaN,NaN,NaN
129-3,NaN,0.69,0.70
130-1,NaN,NaN,NaN
130-2,NaN,NaN,NaN
130-3,NaN,NaN,NaN
131-1,NaN,0.47,0.65
131-2,NaN,0.45,0.55
131-3,NaN,0.43,0.69
132-1,NaN,0.73,0.94
132-2,NaN,0.73,0.94
65-1,NaN,0.69,0.67
65-2,NaN,0.72,0.67
65-3,NaN,0.72,0.68
68-1,NaN,NaN,NaN
68-2,NaN,NaN,NaN
69-1,NaN,0.83,0.86
69-2,NaN,0.71,0.94
70-1,NaN,0.84,0.74
70-2,NaN,0.42,0.50
70-3,NaN,0.55,0.60
72-1,NaN,0.65,0.74
72-2,NaN,0.58,0.55
73-1,NaN,0.36,0.62
73-2,NaN,0.36,0.62
73-3,NaN,0.58,0.61
74-1,NaN,0.54,0.68
74-2,NaN,0.53,0.70
75-1,NaN,0.83,0.86
75-2,NaN,0.75,0.94
79-1,NaN,0.81,0.73
79-2,NaN,0.65,0.69
79-3,NaN,0.75,0.78
80-1,NaN,0.62,0.68
80-2,NaN,0.55,0.70
81-1,NaN,0.55,0.55
81-2,NaN,0.55,0.55
82-1,NaN,0.77,0.59
83-1,NaN,0.45,0.34
83-2,NaN,0.45,0.34
84-1,NaN,0.43,0.42
85-1,NaN,0.72,0.81
85-2,NaN,0.72,0.81
86-1,NaN,0.59,0.69
86-2,NaN,0.59,0.69
86-3,NaN,0.93,0.88
87-1,NaN,0.74,0.89
87-2,NaN,0.69,0.84
87-3,NaN,0.75,0.81
88-1,NaN,0.73,0.72
89-1,NaN,NaN,NaN
89-2,NaN,NaN,NaN
89-3,NaN,NaN,NaN
91-1,NaN,NaN,NaN
91-2,NaN,NaN,NaN
91-3,NaN,NaN,NaN
93-1,NaN,NaN,NaN
93-2,NaN,NaN,NaN
94-1,NaN,0.75,0.78
95-1,NaN,NaN,NaN
95-2,NaN,NaN,NaN
96-1,NaN,NaN,NaN
96-2,NaN,NaN,NaN
96-3,NaN,NaN,NaN
97-1,NaN,NaN,NaN
97-2,NaN,NaN,NaN
97-3,NaN,NaN,NaN
98-1,NaN,0.49,0.42
99-1,NaN,0.64,0.66
