ID-model,GO:0008150,GO:2001141,GO:0051252,GO:0010556,GO:0031326,GO:0009889,GO:2000112,GO:0006508,GO:0019219,GO:0051171,GO:0031324,GO:0019538,GO:0009892,GO:0080090,GO:0031323,GO:0043170,GO:0010468,GO:0060255,GO:0090304,GO:0006725,GO:0051641,GO:0006810,GO:0044260,GO:0008152,GO:0006139,GO:0071704,GO:0048523,GO:0046483,GO:0048519,GO:0006807,GO:0034641,GO:1901360,GO:0044238,GO:0019222,GO:0051234,GO:0065008,GO:0048522,GO:0048518,GO:0044237,GO:0007010,GO:0007154,GO:0051716,GO:0050794,GO:0051179,GO:0051128,GO:0065007,GO:0050789,GO:0002244,GO:0048869,GO:0048468,GO:0030154,GO:0048583,GO:0044763,GO:0051239,GO:0006996,GO:0044699,GO:0006950,GO:0050896,GO:0002376,GO:0023051,GO:0042221,GO:0010646,GO:0071840,GO:0009987,GO:0016043,GO:0050793,GO:0048731,GO:0048513,GO:0032502,GO:0044707,GO:0032501,GO:0007275,GO:0048856,GO:0051049,GO:0030097,GO:0048534,GO:0044767,GO:0002520,GO:0032879
BLAST-S11,NaN,0.80,0.78,0.74,0.75,0.74,0.70,0.82,0.74,0.74,0.75,0.76,0.73,0.70,0.66,0.66,0.67,0.67,0.64,0.65,0.75,0.64,0.59,0.65,0.65,0.61,0.59,0.60,0.56,0.59,0.64,0.60,0.61,0.61,0.66,0.52,0.62,0.59,0.59,0.57,0.55,0.58,0.66,0.62,0.53,0.60,0.61,0.50,0.54,0.55,0.53,0.53,0.53,0.52,0.48,0.50,0.46,0.47,0.51,0.46,0.44,0.46,0.41,0.50,0.41,0.41,0.47,0.42,0.41,0.40,0.42,0.41,0.39,0.52,0.42,0.41,0.36,0.40,0.50
BLAST-S14,NaN,0.88,0.88,0.84,0.84,0.84,0.82,0.81,0.81,0.81,0.79,0.79,0.78,0.76,0.70,0.70,0.69,0.69,0.68,0.67,0.65,0.65,0.65,0.65,0.64,0.63,0.63,0.63,0.62,0.62,0.62,0.62,0.61,0.61,0.61,0.60,0.60,0.59,0.59,0.58,0.58,0.58,0.57,0.56,0.55,0.55,0.55,0.55,0.54,0.54,0.54,0.53,0.51,0.51,0.50,0.49,0.49,0.49,0.48,0.47,0.47,0.47,0.47,0.47,0.47,0.46,0.46,0.43,0.41,0.41,0.41,0.41,0.40,0.39,0.37,0.37,0.36,0.36,0.36
Naive-S11,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
Naive-S14,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
101-1,NaN,0.76,0.72,0.76,0.76,0.76,0.77,0.86,0.67,0.67,0.54,0.75,0.54,0.62,0.68,0.67,0.62,0.60,0.71,0.69,0.62,0.62,0.58,0.68,0.67,0.63,0.48,0.69,0.48,0.68,0.66,0.68,0.61,0.57,0.63,0.49,0.49,0.51,0.60,0.52,0.60,0.58,0.59,0.60,0.50,0.54,0.55,0.50,0.55,0.41,0.51,0.55,0.54,0.44,0.53,0.49,0.51,0.56,0.52,0.49,0.58,0.49,0.60,0.50,0.60,0.53,0.50,0.52,0.41,0.46,0.44,0.41,0.42,0.48,0.47,0.47,0.42,0.47,0.47
101-2,NaN,0.77,0.70,0.79,0.79,0.79,0.78,0.80,0.66,0.66,0.56,0.77,0.56,0.61,0.72,0.68,0.71,0.67,0.71,0.67,0.66,0.64,0.56,0.69,0.65,0.63,0.50,0.67,0.51,0.65,0.63,0.66,0.62,0.64,0.65,0.48,0.49,0.51,0.60,0.53,0.58,0.58,0.60,0.65,0.52,0.57,0.60,0.50,0.56,0.43,0.50,0.50,0.56,0.46,0.58,0.53,0.50,0.51,0.52,0.47,0.61,0.47,0.63,0.41,0.62,0.56,0.52,0.49,0.50,0.51,0.47,0.48,0.47,0.49,0.47,0.50,0.46,0.50,0.48
101-3,NaN,0.83,0.78,0.84,0.84,0.84,0.85,0.89,0.72,0.72,0.55,0.81,0.55,0.61,0.74,0.72,0.64,0.63,0.73,0.71,0.62,0.63,0.56,0.70,0.69,0.68,0.50,0.71,0.51,0.70,0.68,0.70,0.66,0.57,0.64,0.51,0.48,0.46,0.60,0.52,0.59,0.61,0.65,0.61,0.50,0.53,0.56,0.50,0.56,0.41,0.52,0.49,0.54,0.41,0.54,0.42,0.54,0.58,0.53,0.48,0.58,0.48,0.62,0.40,0.60,0.49,0.52,0.53,0.38,0.41,0.41,0.36,0.39,0.48,0.47,0.46,0.40,0.46,0.47
102-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
102-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
102-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
