ID-model,GO:0008150,GO:0006996,GO:0016043,GO:0044763,GO:0071840,GO:0009987,GO:0008152,GO:0044699
124-3,NaN,0.57,0.58,0.54,0.54,0.48,0.61,0.54
125-1,NaN,0.73,0.65,0.71,0.65,0.68,0.43,0.79
125-2,NaN,0.54,0.48,0.57,0.45,0.58,0.52,0.57
125-3,NaN,0.64,0.55,0.61,0.54,0.62,0.70,0.64
126-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50
127-1,NaN,0.52,0.42,0.43,0.42,0.28,0.72,0.40
127-2,NaN,0.51,0.35,0.37,0.36,0.33,0.67,0.35
127-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50
128-1,NaN,0.43,0.35,0.51,0.35,0.39,0.52,0.53
129-1,NaN,0.63,0.49,0.46,0.49,0.55,0.56,0.53
129-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50
129-3,NaN,0.63,0.49,0.46,0.49,0.55,0.56,0.53
130-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50
130-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50
130-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50
131-1,NaN,0.47,0.46,0.57,0.46,0.58,0.41,0.61
131-2,NaN,0.47,0.46,0.57,0.46,0.56,0.42,0.61
131-3,NaN,0.51,0.41,0.42,0.42,0.46,0.38,0.49
132-1,NaN,0.59,0.57,0.49,0.54,0.48,0.72,0.44
132-2,NaN,0.59,0.57,0.49,0.54,0.48,0.73,0.44
65-1,NaN,0.42,0.44,0.37,0.43,0.49,0.43,0.52
65-2,NaN,0.42,0.44,0.37,0.43,0.49,0.45,0.52
65-3,NaN,0.41,0.42,0.40,0.42,0.44,0.43,0.51
68-1,NaN,0.44,0.43,0.60,0.43,0.41,0.38,0.59
68-2,NaN,0.38,0.36,0.55,0.36,0.41,0.49,0.55
69-1,NaN,0.76,0.82,0.71,0.76,0.50,0.64,0.76
69-2,NaN,0.75,0.79,0.68,0.71,0.58,0.62,0.69
70-1,NaN,0.77,0.80,0.41,0.81,0.56,0.54,0.44
70-2,NaN,0.47,0.46,0.29,0.46,0.53,0.47,0.39
70-3,NaN,0.65,0.66,0.75,0.66,0.56,0.47,0.45
72-1,NaN,0.56,0.58,0.59,0.58,0.55,0.44,0.59
72-2,NaN,0.56,0.58,0.52,0.58,0.44,0.46,0.52
73-1,NaN,0.57,0.48,0.58,0.45,0.43,0.59,0.54
73-2,NaN,0.58,0.48,0.58,0.46,0.43,0.60,0.54
73-3,NaN,0.34,0.37,0.40,0.40,0.47,0.53,0.36
74-1,NaN,0.40,0.59,0.40,0.64,0.49,0.56,0.43
74-2,NaN,0.39,0.56,0.41,0.54,0.48,0.45,0.47
75-1,NaN,0.71,0.76,0.78,0.70,0.50,0.64,0.82
75-2,NaN,0.69,0.71,0.75,0.64,0.58,0.64,0.76
79-1,NaN,0.60,0.64,0.58,0.65,0.56,0.61,0.60
79-2,NaN,0.52,0.44,0.49,0.44,0.65,0.65,0.49
79-3,NaN,0.61,0.67,0.55,0.67,0.57,0.53,0.56
80-1,NaN,0.37,0.54,0.49,0.59,0.53,0.52,0.56
80-2,NaN,0.39,0.55,0.43,0.53,0.54,0.51,0.47
81-1,NaN,0.47,0.46,0.57,0.46,0.51,0.45,0.57
81-2,NaN,0.47,0.46,0.57,0.46,0.51,0.45,0.57
82-1,NaN,0.52,0.51,0.54,0.44,0.41,0.73,0.54
83-1,NaN,0.54,0.47,0.53,0.51,0.58,0.44,0.59
83-2,NaN,0.56,0.47,0.45,0.53,0.58,0.44,0.48
84-1,NaN,0.55,0.55,0.56,0.52,0.68,0.71,0.56
85-1,NaN,0.51,0.46,0.48,0.46,0.58,0.65,0.49
85-2,NaN,0.51,0.46,0.48,0.46,0.58,0.65,0.49
86-1,NaN,0.50,0.50,0.53,0.50,0.55,0.43,0.61
86-2,NaN,0.50,0.50,0.53,0.50,0.55,0.43,0.61
86-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.54
87-1,NaN,0.52,0.45,0.66,0.45,0.51,0.46,0.66
87-2,NaN,0.54,0.47,0.65,0.47,0.58,0.51,0.67
87-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50
88-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50
89-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50
89-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50
89-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50
91-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50
91-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50
91-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50
93-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50
93-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50
94-1,NaN,0.53,0.54,0.70,0.51,0.66,0.48,0.70
95-1,NaN,0.50,0.52,0.60,0.52,0.47,0.40,0.60
95-2,NaN,0.46,0.45,0.59,0.45,0.47,0.46,0.59
96-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50
96-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50
96-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50
97-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50
97-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50
97-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50
98-1,NaN,0.56,0.72,0.61,0.67,0.42,0.42,0.56
99-1,NaN,0.53,0.53,0.70,0.50,0.73,0.72,0.57
